maybe you've thought about them , too .	也許你認為 ,
it remembers that it's cancer .	記得它 。
got a very short clip here .	很短 。
how are you sleeping ?	你怎麼辦 ?
you can start to know where things are .	你開始知道 。
here is a computer simulation .	這是電腦 。
now , that was a long time ago .	這很久 。
so let's look to the future .	讓我們看看未來
how do you get around it , though ?	但你怎麼做 ?
the west should try it out .	我們應該嘗試 。
you need to measure all of them .	你需要這些數據
let's take a step back .	讓我們回到一步
it's pretty obvious , right ?	很顯然 , 對吧 ?
i happen to have triplets .	我必須這麼做 。
we actually do it all the time .	事實上 , 我們都做 。
nm: okay . sure .	好吧 !
there were many other things to do .	有許多事情 。
so what's going to happen ?	所以要發生什麼 ?
we started with sports .	我們開始 。
okay , what about the sun ?	好嗎 ?
dc: there we go .	克:現在 , 我們必須去 。
it's actually about three percent .	實際上 , 第三%
and i said , " yes . "	我說: 「 好 。 」
you really can make this change happen .	你真的改變 。
and they just make better decisions .	他們只是做更好 。
and what did they notice ?	他們沒什麼 ?
there's nothing special about it .	沒錯 。
thank you , thank you so much .	謝謝 , 謝謝 。
now , think just for a second .	想想第二 。
imagine that orchestration .	想像一下 。
first up is dual processing .	首先 。
well , i started feeling stronger .	我開始感覺 。
and they didn't stop there .	他們不停止
the first is intensity .	首先 ,
but that care means also you learn .	但這意味著你學習 。
and people can walk on the building .	人們可以走到建築
and little moments in my life .	我人生 。
this is my final piece .	這是我的紙 。
because we all stem from africa .	因為我們從非洲 。
meet my friend jonathan .	我聽到我的朋友 。
many of you will know this picture .	許多照片會知道
they put it online for free .	他們把網路上 。
the rest is in storage .	所有人 。
that case is under appeal .	例如 。
no , no . the other way .	沒有任何方法
sn: where . where .	克:
i didn't put him in .	我不用他 。
you're critical .	你是相同
she's worried .	她寫了
it's loneliness .	它是無論 。
well , this is bad cop .	這很糟 。
get uniformitarian .	除非政府 。
and let me just show you that .	讓我看 。
but i can taste things .	但我可以做的事 。
they're just like everyone else .	他們只是其他人
and i'll tell you why .	我告訴各位
in fact , it's not .	事實上 , 不是 。
and protest is only one .	最重要的是 。
he was an observer .	他看了 。
and that's what you get .	這就是你 。
it's easy to bend .	它很容易
my story is the power of choice .	我的故事是選擇 。
we have to fix our media .	我們必須用我們的媒體 。
he looked happy to see me .	他看著我
first: financial .	首先:
and i believe the answer is yes .	我相信 。
we'd like to understand that .	我們喜歡 。
we can change the incentive .	我們可以改變 。
how are we going to get that ?	我們如何做到 ?
so what were we going to do ?	所以我們要做什麼 ?
think for a moment about your car .	想想你的車子
so what is it that we fear ?	這就是我們恐懼 ?
it’s her job to learn .	當時她的工作
and the short answer is games .	簡單的答案是 。
this is an ecological network .	這是生物 。
it's bamboo .	它是黑人
they actually want to hear about this .	實際上他們想要聽到這個 。
some of you might have seen it .	有些人可能看到
and i was part of that .	我覺得 。
they're not thought of .	他們不認為
um , he was happy .	很棒
because what's the difference ?	因為嗎 ?
it felt futile .	感覺
so can we have that second ?	所以 , 我們有第二 ?
yo , what up ?	嗯 , 對吧 ?
so this is a new project .	這是新的計畫
i've lost that count .	我失敗了
i was 16 years old .	我18歲
that's the simple rule .	這是簡單 。
i was no longer homeless .	我沒有家 。
i could make nothing of that .	我不能做到 。
why do we care about that ?	為什麼我們怎麼做 ?
and i could not tell them .	我不能告訴他們
what do we have in common ?	我們有興趣 ?
and that was a hard one .	這很困難
dt: absolutely .	嗯 , 不是
so how do we do this ?	我們怎麼做 ?
we had other partners .	我們有另一部分
guess what it was ?	猜測是什麼 ?
i was lucky .	我很快 。
accept the challenge .	挑戰
so that that's it .	這樣
space is vast .	空間
they don't want that .	他們不想
let me give you an example .	讓我舉個例子
and why are my people poor .	為什麼我窮人 。
and they are what matters .	他們是重要的
i don't think so .	我不認為
and here's a question .	這是一個問題
so this is nick .	這是很棒的
because i was a writer .	因為我寫了 。
so this is our goal .	這是我們 。
he did not inhale .	他不知道 。
i am a translator .	我打電話 。
and they decided to do it .	他們決定
right along the fence line .	基本上 。
she was 21 years old .	她是2年
de: thank you , chris .	謝謝 , 謝謝各位 。
money is not a goal .	錢不是 。
so , they work differently .	所以 , 他們非常不同 。
this is miami .	這是亞亞 。
now it's real time .	現在 , 真的 。
the key is consent .	關鍵是 。
and look after yourself , too .	看看 , 太多 。
how would you feel about that ?	你如何感覺 ?
remember that image from the beginning ?	記得嗎 ?
and the car sped off .	汽車 。
so how do we know that ?	所以我們知道 ?
now how could this come about ?	怎麼來 ?
it was incredible .	很糟 。
does trust transfer ?	改變嗎 ?
let me take a step back .	讓我回到一步 。
side street in italy .	街上 , 街上 。
that i carry within me .	我開車 。
and i just couldn't .	我只是
what is wrong with my life ?	我的人生是什麼 ?
how could he be sure ?	如何確定 ?
one fact is not true .	其中並不是真的
you see the person live .	你看到人們
i think we have power .	我認為我們有力量
and it's political .	它是政治
the body just learns .	身體只是學習 。
thank you very much .	謝謝 。
and i loved it .	我愛
one's a fish .	其中一個魚
it isn't easy .	它不容易
thanks very much .	謝謝 。
they are interested .	他們是最重要的
thank you very much .	謝謝 。
tt: e .	克:
this is happening by itself .	這發生了
it's pretty amazing .	很棒
thanks . bye .	謝謝 。
jt: okay .	克: 好 。
my name is amit .	我的名字 。
it's that simple .	簡單
so what did we find ?	所以我們發現什麼 ?
so what did we do ?	所以我們做什麼 ?
thank you very much .	謝謝 。
increasing ?	嗯 ?
psychological .	科學 。
thank you very much .	謝謝 。
thanks for listening .	謝謝 。
a good example is this .	好的例子
never mention winning .	沒有人 。
here are two of them .	這裡有兩個
day five and day six .	五天 。
find that which is not .	發現這不是
rm: thank you .	謝謝各位 。
sent from my brain . "	從我的腦中 。
so how do we solve ?	我們怎麼解決 ?
well , we did it .	嗯 , 我們做了
so how about the brain ?	所以 , 大腦 ?
eh: not bad .	克:好 。
sadly , no .	沒錯 。
but nothing else does either .	但沒錯
but there was nothing there .	但沒有 。
get home to me . "	回到家 。
i know that feeling .	我知道 。
this is a brain .	這是大腦
this is pattern thinking .	這是思考 。
what happens to education ?	教育呢 ?
i know them well .	我知道他們
another place for people .	另一個地方
can you save ? "	你可以拯救 ? 」
we propose 10 .	我們選擇 。
see what i mean ?	我看到什麼意思 ?
i love my job .	我愛我的工作
js: again .	克:
fantastic .	很棒
allow me to explain .	讓我解釋 。
give it another try .	給另一個 。
it is life itself .	它是生命
which it probably is .	可能是
and you wonder why .	你覺得為什麼
what is this map ?	這個圖是怎麼樣 ?
i ran away .	我走了
and the happy result .	很快
is this fair ?	這是公平 ?
he was gone .	他走了
punches ?	好嗎 ?
so here we are .	我們在這裡
and they are not .	他們不是
that is my life .	這是人生 。
trust me .	相信我 。
we have no idea .	我們沒有想法
three main approaches .	三個方法
what would you do ?	你怎麼做 ?
my brain started thinking .	我的腦開始 。
live burial .	生活
and look at this .	看看
hmm .	喔
and so . . .	所以 。
yes and no .	沒錯
all right then .	接著 , 一切 。
have a look .	看 。
a new approach .	新方法
like anno .	像這樣
oh my god .	喔
we see them .	我們看到他們
close your eyes .	近近你的眼睛
and they did .	他們做了 。
there are many .	很多
the results ?	結果 ?
1 , 000 ?	1 , 對吧 ?
check .	試圖
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
yeah !	啊 !
relationships .	關係
thank you .	謝謝各位
what is ?	什麼 ?
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thank you .	謝謝各位
thanks .	謝謝 。
thank you .	謝謝各位
wonderful .	好 。
thank you .	謝謝各位
how much ?	多少 ?
right ?	對吧 ?
why ?	為什麼 ?
it's doubling every 18 months now .	現在 , 現在每個月
have we ever heard of a dust mite ?	我們已經聽過一名嗎 ?
we all have responsibility .	我們所有的責任 。
it was a tool of selfdefense .	它是自我的自我 。
i visit her in the hospital .	我在醫院 。
and then the surprise turns into hope .	接著 , 希望 。
more homework assignment for you .	更多的家人 。
director 2: can you not shut up ?	第一:2:2:你不能走走 ?
and now this is a work in progress .	這是一個工作 。
he's from korea originally .	他從阿拉拉拉拉拉 。
they're waiting to be circumcised .	他們等等等 。
and this is in the process of being built as we speak .	這是我們設計的過程 。
the highest concentration is in our brains .	最高的大腦就是我們腦中 。
the ones i started were much more primitive .	一開始 , 我開始更多 。
bulldozing needs to be stopped .	克里斯需要停止 。
you can go and buy some of the great tunes .	你能買一些棒的小小 。
i've been up to its front gates .	我一直在右邊 。
now , these are three spectragrams .	現在 , 這些觀點 。
they were almost impossible to swallow .	他們幾乎不可能 。
it's an art of communication .	它是藝術 。
i'm doing time here . this is not my home .	我這樣做 。
you can hear things that you didn't use to hear .	你可以聽起來 。
30 , 000 dollars for a night in a hotel .	三萬美元 。
i built that pier with my bare hands .	我建造我的手術 。
they want to cocreate with me the future .	他們想要和未來 。
this coral is eight meters tall , right .	這是20年 , 例例 。
well , there's no science to suggest .	嗯 , 沒有科學
this heroic story is not just another myth .	這故事不是另一個故事 。
now , this is the history of the next hundred years .	現在 , 接下來的歷史 。
i'm standing here , balancing .	我站在這裡 ,
look , we all know the shocking numbers .	看看 , 我們都知道 。
it's blasting out radiation .	它很快 。
she got diabetes . case closed .	她花了 。
he got caught . he got tried .	他拿了
the second reason is it has to do with spending .	第二 , 它必須花費 。
we can look at the pollution from china .	我們可以看中國 。
h stands for higgs particle .	嗯 , 這樣 。
we're about to take a break in a moment .	我們談到一個時刻 。
we can't wait to follow the next one . "	我們不能等等等 。 」
this is just actually the first one that we tried .	這只是我們試圖
i said , i also have a pottery .	我說 , 我也有一家 。
we call it the cloud of normality .	我們稱之為 「 常常 」
what is an actress with no stage ?	什麼是誰 ?
my father was a san franciscan .	我父親的父親 。
lol is being used in a very particular way .	克里是非常特別的
i do not recommend this at all .	我不是這樣 。
it can follow chemical gradients .	它可以把基因組成 。
being an artist is the greatest job there is .	藝術是最棒的 。
he was a teacher par excellence .	他是老師 。
i deserve the education that i get here .	我相信教育 。
this is the callandresponse .	這是 「 的 」 。
they will reap the benefits .	牠們會更有效 。
now this looks also like a very good story .	看起來很棒 。
you know , innovation's hard work .	你知道 , 很困難 。
no , no , i haven't got it .	不 , 我沒有 。
but a few of the cells survive .	但幾種細胞 。
and he kind of nodded , you know ?	你知道嗎 ?
but what do the russians think ?	但誰會做什麼 ?
the first one is that they're toxic .	首先是 ,
does anyone want to guess what it is ?	任何人想要知道什麼 ?
for example: mental arithmetic .	例如 , 例如 。
we need to take advantage of that .	我們需要讓大家做 。
my tote bag became a little library .	我帶了一小小小 。
people have been asking this question for a long time .	人們問這個問題 。
choices are a very important part of our lives .	選擇是我們的生活 。
that's a logical error .	這是個科學 。
they've got an apple here from south africa .	他們已經從非洲 。
even so , we will be long gone by then .	等等 , 我們會很長 。
that is , a real language has grammar .	真的 , 真正的語言 。
but our mind keeps it pretty simple , yeah ?	但我們希望它很簡單 , 對吧 ?
well , not so , because this is also my problem .	嗯 , 不是我問題 。
this optic was 22 feet long .	這是222年 。
he was my wingman on the descent .	他在199年 。
what have i been hiding for 16 years ?	我已經在20年 ?
guns and bombs are nothing new .	猜猜 , 不是新的 。
and there was no shortage of evidence .	沒有時間 。
his body had saved his son's life .	他的身體有生命
i just took their pictures and pasted them .	我只花了他們的照片
let me remind you what we already know .	讓我看看我們已經知道 。
i hope you see the resemblance .	我希望你們看 。
all this became a childhood memory .	所有的孩子變成了 。
how does a bias become a policy ?	如何變成一個公民 ?
lifespan has increased to 78 .	生命有777年 。
now there's one problem with robots like this .	現在有一個問題
we've got to hook them up with parents .	我們必須把父母放棄 。
then we bring them right back in and do it again .	接著 , 我們把他們回來 。
so , the bladder is one such organ .	所以 , 其中一部分 。
they can get deeper mastery over the material .	他們能深深深深入材料
i want you to make as many new words as possible .	我希望你們用許多字 。
they collect 100 thousand liters in one season .	他們收到1000英尺
what exactly to the people watching this do every day ?	每天 , 每天都看不到什麼 ?
thank you all very much . it was lovely .	謝謝大家 。
and his thoughts made him reach for katie .	他覺得他做了 。
the longest at the moment is in japan .	最久的時刻 。
i should warn you , they're pretty powerful .	我應該說 , 很強 。
" i feel closer to my friends and family . "	「 我覺得我的朋友 。 」
hold your hands together . your other hand on top .	把你的手臂 。
and when we did that , we found 10 patients .	當我們發現 , 我們發現了20個病人 。
it's the order of the four bases .	只有四個小時 。
it's about being at ease in the water .	它在水中
technology that they could have created in any way they wanted .	科技可以創造任何方法 。
what happened to our bread in the meantime ?	我們發生什麼事 ?
go and get your share from the other researchers . "	回到你的研究 。 」
we leap into the arms of big placebo .	我們把手臂轉到大陸 。
he was darwin's cousin .	他是老老的 。
they even hosted juice stations .	他們甚至被告告 。
gets up , walks to the corner .	走上 , 走走 。
finally , we have the partisan barrier .	最後 , 我們有一部分 。
and it's because of what we feed them .	是因為我們對他們做什麼
so i went to google earth and learned about africa .	所以我去google , 我學到了非洲 。
ah ah , ah ah ah .	嗯 , 喔 。
see , i'm like " fire it up ! "	我看: 「 好 ! 」
remember that moment publishing your designs ?	記得你設計了嗎 ?
but let's use it consciously .	但是 , 讓我們使用它 。
and i learned how to slow my heart rate down .	我學到了我的心臟 。
perhaps our parents suffered from depression .	或許我們父母的恐懼 。
" poor people are recipients . "	「 窮人 。 」
well , let's see if we can do that .	嗯 , 如果我們能做 。
the cows that are waiting all around us .	等等我們等待 。
here's an experiment we did at harvard .	這是一個實驗 。
and in fact , that's what's happening .	事實上 , 發生了 。
i had never heard the word amerasian before .	我沒聽過一名字 。
did the rest of your family make it out alive ?	你的家人做什麼 ?
we all know that exploration is risky .	我們都知道 ,
i want you to look at your friend a little bit .	我想要看看你的朋友 。
now i want you to relax your hand .	現在我希望你們 。
but the relationship between them has been supported to change .	但他們之間的關係 。
and we all know that is the hulk .	我們都知道 。
it should be the citizen's decision .	應該是決定 。
we’re going to have some tomorrow .	我們要做一些 。
i did this in front of many strangers .	我做了很多人 。
likely , i'll lose my way .	像我 。
boston doesn't just have a call center .	汽車不僅僅只有一個城市 。
these are some famous recent examples .	這些例子
i'd never seen that before , but he did .	我從未見過 , 但他做了 。
so i might ask: " who is it for ? "	所以我可能會問: 「 誰 ? 」
this young woman wished also to go to school .	年輕女孩也希望回到學校 。
the kind of relationships when deep speaks to deep .	深刻 , 當深深深的關係 。
like this character . remember these guys ?	像這樣
was it something that took place overnight ?	這樣發生了什麼事 ?
why ? we look at the inner planets .	為什麼我們在地球上看
you know , " sit , sit . "	你知道: 「 喔 。 」
what shall i talk to her about ? "	我談到她 ? 」
your sense of sight is the fastest .	你很快 。
one i thought had a kidney stone .	其中一個夢想 。
we protested . he signed it .	我們發現了 。
it's always the dark side of co2 .	幾乎是黑猩 。
that's how the light gets in . "	這是光線 。
three out of 10 . that's not good .	第三 , 不是好 。
stm 4: table coming down .	克:5.5.
when did we originate as a species ?	當我們做一個物種 ?
i can try to be really still for 20 minutes .	我可以嘗試20分鐘 。
and this one doesn't have anything for them .	這不是任何人 。
in six months , how do we train these women ?	六個月 , 我們怎麼辦 ?
imagine making all of our hard materials that way .	想像我們所有的材料 。
you are enough here at queer kid stuff .	你不夠的小孩
i call them lessons to change the world .	我稱他們改變世界 。
and everybody was really happy for me , but me .	每個人都很幸 , 但我覺得我 。
two decades ago and now nothing has changed .	兩年前 , 現在沒有改變 。
well , adhd is just one example .	嗯 , 只是一個例子
we are not there yet , but pay close attention .	我們不是 , 但沒有注意力 。
so low numbers mean that people worked harder .	更低的數字 。
isn't that extraordinary ?	沒錯 ?
it cost 1 . 7 million dollars to develop .	它是1億美元 。
right ? i mean , somebody's seen him .	我的意思是 , 我看到他 。
so what were the consequences ?	所以呢 ?
not necessarily , no .	不管 , 沒錯 。
there are three reasons why this is the case .	三個原因是為什麼
and that's exactly what's happened here .	這樣發生了
jf: raaaaaah !	克里斯:謝謝謝謝謝謝 。
she's a high school student .	她是高高的學校
feels like it's coming from right there .	感覺是 。
no , i don't have a badge .	我沒錯 。
that's a rule of thumb .	這是個規則 。
i too will join the cult .	我很興奮 。
" what are you afraid of ? "	「 你是誰 ? 」
no one's ever seen evolution .	沒有人看 。
this is all you . and this is all us .	這是大家 。
this is the most glorious painting .	這是最令人興奮 。
i can't write a word of code .	我不能寫一個字 。
that's a big skull .	這是非常大的 。
so i'm trying to clear it up .	所以我試圖 。
it's based on a real life experience .	它是我們人生的經驗
and that's what weavers are doing .	這就是我們做的事
let's go through the evidence .	讓我們來看看 。
here's a last exercise .	這是一個非常興奮
this is what we call a perfect fifth .	這是我們所謂的 。
so , my plea to you is this .	所以 , 我給各位 。
folks like kat and marie .	像克克克克克 。
" this is me . " identity .	「 我相信 。 」
these are the solutions that we need to find .	這些解決方案 。
these differences were highly significant .	這些差異 。
who benefits from all of this ?	誰是誰 ?
but you have to have the right tools .	但你必須確定
s : i want to change my life !	:我想要改變我的人生
this is in paris , along the seine .	這是非常驚訝 。
this was the first i'd heard of it .	這是我聽到的 。
i think that this is a strange moment .	我認為這個時刻 。
so this is where people went astray again .	這是人們 。
sounds ridiculous , right .	聲音的聲音 。
third: diplomas are a brand .	第三:
basho was a brilliant man .	嬰兒是很棒的 。
this is important to create this exchange .	這很重要 。
ooh , this is going to be fun !	嗯 , 這會很有趣的 。
sadness enveloped maidan .	哈拉拉拉拉拉 。
this was when we had our " aha ! "	這時我們有一天 ! 」
feel happier and help save the world .	感覺 , 感覺和世界 。
we have to rehumanize the law .	我們必須讓法律 。
translate this into adult language .	轉換這個語言 。
but we know that it's just not new .	但是我們知道 , 不是新的 。
the result of that was pretty dramatic .	結果是很棒的
second man: it's driving itself .	第二:它是這樣 。
they had completely different number systems as well .	他們完全不同的系統 。
and made the beams going around the house .	把房子 。
one of them was this grandmother .	其中其中其中其中一部分
surely , several questions arose .	確 , 解決問題 。
live at ted , y'all .	生活在此時 ,
clearly we don't have 10 planets .	顯然我們不夠 。
voting gives me a voice and power .	轉換我的聲音 。
but the data didn't look like a planet .	但數據並不像這樣
and we stopped trying to save these lives .	我們停止這些生命 。
but i want you for another purpose .	但我想要另一項 。
but why is the question always do they love us ?	但為什麼他們總是喜歡什麼 ?
i think some people agree with me .	我想一些人 。
so all the animals were drawn to the water .	所以 , 動物都在水中 。
he hung out with the beatles .	他帶著微鏡
now , how do you create compassion ?	現在 , 你如何創造複雜 ?
it's amazing , the power of one word .	很棒 。
our humanity is actually defined by technology .	人類其實是科技 。
i get hate speech for that .	我很幸運 。
people are looking for recognition .	人們看法
texting has a 100 percent open rate .	科技有10% 。
you create your own reality , and you believe it .	你創造自己的現實 , 相信你 。
a huge scandal for a few weeks .	一週 , 幾週 。
we internalize ideas from our socialization .	我們對社會的思考 。
and then they asked , " is that right ? "	然後他們問: 「 嗯 ? 」
it's a terrible business model .	它是很棒的 。
i just have a technology platform . "	我只是一個科技
so we are past our 1 , 000th show .	我們現在是1萬人 。
hi sweetheart . okay .	謝謝 。
so that's our general blood work test .	這是我們的血管 。
now , our classrooms could use change .	現在 , 我們能改變 。
this pattern appears over and over again .	這張圖 , 轉換了 。
so each person climbs individually .	每個人 。
i said , " you're right . "	我說: 「 謝謝 。 」
we cut roads through the forest .	我們把最加入 。
run for your heterosexual lives .	為了你的人生 。
these are news deserts .	這些都是新的 。
voice: we need an ambulance .	聲音:我們需要一步 。
secondly , it breaks down a lot .	第二 , 它慢慢 。
so , why doesn't it do it ?	所以 , 為什麼不做 ?
comedy is very popular .	來源是非常大的 。
people wrote long and short answers .	人們很長長 。
and he said to me , " oh no .	他說: 「 喔 。
how early can a rock performance begin ?	早晨 , 怎麼開始 ?
and those young people become older people .	這些年輕人變成年輕人 。
but for us , the rain is good .	對我來說 , 很好 。
this is the word that it talks with .	這是字 。
she became the one she was waiting for .	她開始等待 。
this easily might not have been .	很容易 。
it seems mad to talk about nothing .	看起來不用 。
it's so much fun to drive . "	很有趣的 。
strike three is menopause .	第三個男人 。
now all your different departments .	現在所有不同的公園 。
on the right , there is a coral .	基本上 , 這裡有一種文化 。
a mania for learning english .	一位年輕人學習
and it was a very emotional moment .	它非常感染 。
about half a cent a day to run .	今天 , 一天 。
it was , really , a wonderful experience .	真的 , 很棒
we have our common sense and our common experience .	我們有常常見 。
when did neighbors become friends ?	當朋友變成朋友 ?
that's me getting mica .	對我來說 。
and he felt like he had let her down .	他覺得他 。
other organizations send volunteers .	其他組織 。
how do you know it when you find it ?	你知道嗎 ?
believe me , i think of that , too .	我相信 , 我太多 。
or as our friend here would say . . .	或是我們的朋友說 。
here's their jam aisle .	這是他們 。
ck: yes , that's right .	克:謝謝謝 。
this is really destructive .	這真的 。
that's david letterman .	這就是我們 。
this is why i am here today with you .	這是今天 。
do you know any artist that does that ?	你知道嗎 ?
the war against terror , yes .	戰爭 , 戰爭 。
it can feel like the end of the world .	它可以感覺到世界
" ma , have you no shame ?	「 你沒有嗎 ?
it's bursting with life .	它是生命 。
they vary in seriousness .	他們很幸運 。
but then the next moment i could hear it .	但接下來我能聽到它
i said , " i have never seen it .	我說: 「 我從未見 。
so yes , civility pays .	沒錯 。
so how do you make the rare common ?	你怎麼做 ?
and they're learning to become like us .	他們會學習
you have to have more things wrong than right .	你必須更錯 。
i have two kids under the age of five .	我有兩個孩子 。
i wrote a long paper on this .	我寫了一張紙 。
we want them to be free to do that .	我們希望他們能做到 。
and here , children don't live longer .	今天 , 孩子不久 。
and color in the owl for me .	顏色 。
i'll meet you at owl .	我會議 。
we had some of them this morning .	我們有一些早期
how many people here are lefthanded ?	這裡有多少人 ?
ca: that is a big vision .	克:這很大 。
reality is so complex , we need to move away from dogma .	現實是 , 我們需要繼續繼續做 。
get yourself a fat reward . life's good . "	人生上 , 生命 。 」
if your candidate loses , they get none .	如果你不能殺掉 , 沒錯 。
to which i would say , " good luck with that . "	我要說: 「 好 , 很好 。 」
could we have these conversations between kids and adults ?	我們可以談這些孩子之間的談論 ?
but in my case , the drugs only made things worse .	但 , 我的例子 , 只有藥物的藥物 。
and the nano team average age was just 27 years .	第7年 , 只有7年 。
but if it happens too much , it can actually make me sick .	但 , 如果這樣發生 , 它可以把我媽媽媽做 。
and like all such stories , this is not a story just of technology .	像這樣的故事 , 這不是一個科技 。
he ran an ngo in vila cruzeiro .	他在阿拉拉拉拉拉 。
and that's taking us to mcmurdo .	這樣我們要做法 。
and apparently it smells like bacon .	實際上 , 它很容易 。
so i think it was helpful for me to be an engineer .	所以我認為 , 我很有機會 。
to stop shutting down and to start opening our minds .	停止停下來 , 我們開始開開心心心 。
that's no longer the province of science fiction .	這不是科學 。
one friend said , " you really messed with me . "	一位朋友說: 「 你真的很有 。 」
i'm thinking of wael ghonim , though .	我想一下 , 嗯 , 其實 。
these neurons are important for learning and selfawareness .	這些神經元是重要的 。
and we're a pretty small staff , which is me .	我們很小 , 很小 。
i said , " you could've gotten me fired . "	我說: 「 你能得到我 。 」
so that's a way to get basic services scaled up .	基本上 , 基本上 , 基本上 。
