maybe you've thought about them , too .	也許你也想過他們 , 也是 。
that's an easy question , right ?	這是個很簡單的問題 , 對吧 ?
what about the rest of the pie ?	怎麼樣呢 ?
nn: thank you for asking .	nn:謝謝你要問 。
why am i telling you this story ?	為什麼我要告訴你們這個故事呢 ?
now we say , oh , my god .	我們說 , 噢 , 我的天啊 !
" will my kid be all right ? "	「 我的孩子會是對的嗎 ? 」
the greenest class in new york city .	在紐約的最綠色教室 。
can never tell if it's on .	永遠不會告訴你 。
phone: hey , where are you ?	電話:嘿 , 你在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音 。
oh , look how it lies there .	噢 , 看看它是怎麼樣的 。
gone , gone , gone .	去吧 , 去吧 , 去吧 , 去吧 。
the answer is: a power plant .	答案是:一個權力計畫 。
that's a great arm protection !	這是一個很棒的軍隊保護 !
i write for those same reasons .	我寫了同樣的理由 。
everybody: i am my connectome .	大家:我是我的連結 。
so what happened in colombia ?	所以 , 在哥倫比亞發生了什麼事 ?
what will brain theory look like ?	大腦理論會怎麼樣 ?
titans need not apply .	組織並不需要 。
" and you know , how about us ?	「 你知道 , 我們怎麼想 ?
women lie more to protect other people .	女性更能保護其他人 。
so , how cheap is it ?	所以 , 肥皂是怎麼樣 ?
this fish actually has high beams .	這隻魚其實是很高的羞恥 。
and i remember thinking , this is it .	我還記得 , 這是它 。
monkey has like you have .	猴子跟你一樣 。
bg: don't go away .	布魯諾:不要離開 。
and we need to do their work now .	我們現在需要做他們的工作 。
and it looked kind of like this .	看起來像這樣 。
" why do you invest in new ideas ?	「 為何你投資新點子 ?
do you have safe housing ? "	你有安全的住房嗎 ? 」
light is incredibly fast .	光很快 。
and the light goes through that hole .	燈光從那洞中走過那洞 。
you can wait as long as you want .	你可以等待你想要的長久 。
i'm going to show you this .	我要給各位看 。
a person can never be broken .	一個人永遠不會被破壞 。
and number four: find joy .	第四:找到喜悅 。
people don't build anything this way .	人們不用這樣做 。
see , i'm an artist .	看吧 , 我是藝術家 。
we did the design for that 2008 .	我們為2008年完成了設計 。
what if you just see or hear it ?	如果你只看到它或聽起來呢 ?
we are in excellent company .	我們在外交公司裡是很棒的 。
these are quadcopters .	這些是平方的記者 。
one is that we are always teaching .	第一 , 我們總是在教導 。
and i finally have stabilized .	終於我終於有穩定的 。
that's a little bit scary .	這有點可怕 。
what about energy conservation ?	能源保險是什麼 ?
now i think it's too easy .	我覺得很簡單 。
they’re thinking about the same things .	他們在想同樣的事情 。
fellas , we are the problem .	聯邦 , 我們是問題的 。
i flew here yesterday .	我來這裡 , 是昨天 , 是的 。
he even reached 105 meters .	他甚至接近105公尺 。
most people fled abroad .	大部分的人都把英雄翻譯成一條道路 。
and sometimes they just capture stars .	有時 , 他們只是捕捉恆星 。
and it's a madeup word .	這是一個製造的字詞 。
it remembers that it's cancer .	還記得癌症是癌症 。
got a very short clip here .	這裡有個很短的晶片 。
how are you sleeping ?	你如何睡覺 ?
you can start to know where things are .	你可以開始知道事情是何處 。
here is a computer simulation .	這是一個電腦模擬 。
now , that was a long time ago .	很久以前 , 那是很久以前的 。
so let's look to the future .	我們來看看未來 。
how do you get around it , though ?	但 , 你如何走到它 , 怎麼做呢 ?
the west should try it out .	西方應該試看 。
you need to measure all of them .	你必須衡量所有人 。
let's take a step back .	咱們回到一步 。
it's pretty obvious , right ?	很明顯 , 對吧 ?
i happen to have triplets .	我遇到了試驗 。
we actually do it all the time .	我們幾乎都這麼做了 。
nm: okay . sure .	nm:好 。 當然 , 沒錯 。
there were many other things to do .	有許多其他東西去做 。
so what's going to happen ?	那麼 , 會發生什麼事 ?
we started with sports .	我們從運動開始 。
okay , what about the sun ?	好吧 , 太陽是什麼 ?
dc: there we go .	dc:我們去了 。
it's actually about three percent .	其實是大約3% 。
and i said , " yes . "	我說: 「 是的 。 」
you really can make this change happen .	你真的可以做出改變 。
and they just make better decisions .	他們只是做出更好的決定 。
and what did they notice ?	他們注意到什麼 ?
there's nothing special about it .	沒什麼特別 。
thank you , thank you so much .	感謝各位 , 非常感謝各位 。
now , think just for a second .	現在 , 想一下 , 想想第二個 。
imagine that orchestration .	想像一下 , 富裕的森林 。
first up is dual processing .	首先 , 是因為流程 。
well , i started feeling stronger .	嗯 , 我開始感覺更強壯 。
and they didn't stop there .	他們不停在那裡 。
the first is intensity .	首先是強大的 。
but that care means also you learn .	但那也意味著你也學到了 。
and people can walk on the building .	人們可以走到建築上 。
and little moments in my life .	我人生中的小時刻 。
this is my final piece .	這是我的最後一首作品 。
because we all stem from africa .	因為我們都從非洲開始 。
meet my friend jonathan .	見到我的朋友jonhanhanhanhanhan 。
many of you will know this picture .	很多人都知道這張照片 。
they put it online for free .	他們把它放在網路上自由 。
the rest is in storage .	餐廳是儲存的 。
that case is under appeal .	這個案例是下面的 。
no , no . the other way .	不 , 不 , 另一種方式 。
sn: where . where .	愛鸚斯坦:那裡 。 在那裡 。
i didn't put him in .	我沒有把他放進去 。
you're critical .	你是很關鍵的 。
she's worried .	她很擔心 。
it's loneliness .	它是孤獨的 。
well , this is bad cop .	嗯 , 這很糟糕 。
get uniformitarian .	得到不平凡的人 。
and let me just show you that .	讓我來展示一下 。
but i can taste things .	但我可以教導一些事情 。
they're just like everyone else .	他們就像其他人一樣 。
and i'll tell you why .	我想告訴各位為什麼 。
in fact , it's not .	事實上 , 這不是 。
and protest is only one .	抗議只是一個 。
he was an observer .	他是一位觀察者 。
and that's what you get .	這是你得到的 。
it's easy to bend .	很容易是盲目 。
my story is the power of choice .	我的故事是選擇的力量 。
we have to fix our media .	我們必須修改我們的媒體 。
he looked happy to see me .	他看起來很高興去看我 。
first: financial .	首先:財務 。
and i believe the answer is yes .	我相信答案是對的 。
we'd like to understand that .	我們想要了解這一點 。
we can change the incentive .	我們可以改變中心 。
how are we going to get that ?	我們要如何做到這一點 ?
so what were we going to do ?	我們要怎麼做呢 ?
think for a moment about your car .	想想你的車子 。
so what is it that we fear ?	所以 , 我們害怕的是什麼 ?
it’s her job to learn .	這是她的工作 。
and the short answer is games .	簡單的答案是遊戲 。
this is an ecological network .	這是一個生態網路 。
it's bamboo .	這是蝙蝠俠 。
they actually want to hear about this .	他們真的想聽見這一點 。
some of you might have seen it .	有些人可能看到它 。
and i was part of that .	我就是這樣一部分 。
they're not thought of .	他們沒有想過 。
um , he was happy .	嗯 , 他很高興 。
because what's the difference ?	因為差異是什麼 ?
it felt futile .	感覺難民 。
so can we have that second ?	所以 , 我們能有第二個 ?
yo , what up ?	yo , 到底是什麼 ?
so this is a new project .	這是一個新的計畫 。
i've lost that count .	我失去了這個數字 。
i was 16 years old .	我十六歲了 。
that's the simple rule .	這是簡單的規則 。
i was no longer homeless .	我不再是無家可歸的 。
i could make nothing of that .	我沒辦法做到這一點 。
why do we care about that ?	我們為什麼在乎這一點呢 ?
and i could not tell them .	我不能告訴他們 。
what do we have in common ?	我們有什麽共同點呢 ?
and that was a hard one .	這是個很困難的 。
dt: absolutely .	d:絕對是 。
so how do we do this ?	所以 , 我們怎麼做呢 ?
we had other partners .	我們還有其他夥伴 。
guess what it was ?	猜猜到底是什麼 ?
i was lucky .	我很幸運 。
accept the challenge .	接受挑戰 。
so that that's it .	所以這就是這樣 。
space is vast .	太空是巨大的 。
they don't want that .	他們不想這樣 。
let me give you an example .	讓我舉個例子 。
and why are my people poor .	為什麼我是窮人 。
and they are what matters .	他們是很重要的 。
i don't think so .	我不這麼想 。
and here's a question .	這是一個問題 。
so this is nick .	所以 , 這是尼克 。
because i was a writer .	因為我是個作家 。
so this is our goal .	這是我們的目標 。
he did not inhale .	他沒有hale 。
i am a translator .	我是翻譯者 。
and they decided to do it .	他們決定做這件事 。
right along the fence line .	順著一條線 。
she was 21 years old .	她21歲了 。
de: thank you , chris .	丹:你 , 克里斯.克里斯:謝謝你 , 克里斯 。
money is not a goal .	錢不是目標 。
so , they work differently .	所以 , 他們的工作是不同的 。
this is miami .	這是miami 。
now it's real time .	現在是真實的 。
the key is consent .	關鍵是內容 。
and look after yourself , too .	看看自己 , 也是如此 。
how would you feel about that ?	你要如何感受到這一點 ?
remember that image from the beginning ?	還記得那張照片嗎 ?
and the car sped off .	汽車停止了 。
so how do we know that ?	我們怎麼知道呢 ?
now how could this come about ?	怎麼來呢 ?
it was incredible .	它很不可思議 。
does trust transfer ?	信任交易嗎 ?
let me take a step back .	讓我回到一步 。
side street in italy .	在義大利的街道上 。
that i carry within me .	那我在我內心的那一輛車 。
and i just couldn't .	我沒辦法 。
what is wrong with my life ?	我的人生是什麼 ?
how could he be sure ?	他如何確保 ?
one fact is not true .	其中一個事實不是真的 。
you see the person live .	你看到那個人活著 。
i think we have power .	我認為我們有權力 。
and it's political .	政治是政治 。
the body just learns .	身體只是學習 。
thank you very much .	非常感謝各位 。
and i loved it .	我很喜歡它 。
one's a fish .	一隻魚是魚 。
it isn't easy .	它不容易 。
thanks very much .	非常感謝 。
they are interested .	他們很感興趣 。
thank you very much .	非常感謝各位 。
tt: e .	史蒂芬:愛鸚斯坦 。
this is happening by itself .	這是自身發生的 。
it's pretty amazing .	很棒 。
thanks . bye .	感謝大家 。
jt: okay .	約翰:好了 。
my name is amit .	我的名字是麻省理工 。
it's that simple .	很簡單 。
so what did we find ?	所以我們發現了什麼 ?
so what did we do ?	我們怎麼做呢 ?
thank you very much .	非常感謝各位 。
increasing ?	增加了嗎 ?
psychological .	心理學 。
thank you very much .	非常感謝各位 。
thanks for listening .	感謝聆聽 。
a good example is this .	很好的例子是 。
never mention winning .	從來沒有提到贏了 。
here are two of them .	這裡有兩個 。
day five and day six .	每天五天和六天 。
find that which is not .	發現這不是 。
rm: thank you .	馬:謝謝你 。
sent from my brain . "	把我的腦袋送到腦袋裡 。 」
so how do we solve ?	我們如何解決呢 ?
well , we did it .	嗯 , 我們做到了 。
so how about the brain ?	那麼大腦如何呢 ?
eh: not bad .	愛鸚斯坦:不好 。
sadly , no .	很可悲的是 , 沒錯 。
but nothing else does either .	但 , 什麼都沒有 。
but there was nothing there .	但沒什麼 。
get home to me . "	回到家 。 」
i know that feeling .	我知道這感覺是如此 。
this is a brain .	這是一個大腦 。
this is pattern thinking .	這是模式 。
what happens to education ?	教育會怎麼樣 ?
i know them well .	我知道他們好了 。
another place for people .	另一個地方 , 為人們提供一個地方 。
can you save ? "	你能拯救嗎 ? 」
we propose 10 .	我們提出10個 。
see what i mean ?	看看我是什麼意思 ?
i love my job .	我愛我的工作 。
js: again .	約翰:再次 。
fantastic .	很棒 。
allow me to explain .	讓我解釋一下 。
give it another try .	給它另一個試驗 。
it is life itself .	它本身是生命本身 。
which it probably is .	它可能是這樣 。
and you wonder why .	你想為什麼會這樣想 。
what is this map ?	這張地圖是什麼 ?
i ran away .	我離開了 。
and the happy result .	快樂的結果 。
is this fair ?	這是公平嗎 ?
he was gone .	他就去了 。
punches ?	該怎麼做 ?
so here we are .	所以 , 我們是這樣 。
and they are not .	他們不是 。
that is my life .	這是我的人生 。
trust me .	信任我 。
we have no idea .	我們沒有想法 。
three main approaches .	三個主要的方法 。
what would you do ?	你會怎麼做 ?
my brain started thinking .	我的大腦開始思考 。
live burial .	活得很棒 。
and look at this .	看看這一點 。
hmm .	嗯 , 嗯 。
and so . . .	所以 , 如此 。
yes and no .	是的 , 沒有 。
all right then .	一切都沒錯 。
have a look .	看看 。
a new approach .	一種新的方法 。
like anno .	像恐龍一樣 。
oh my god .	噢 ! 噢 ! 噢 !
we see them .	我們看到它們 。
close your eyes .	靠近你的眼睛 。
and they did .	他們做到了 。
there are many .	有很多 。
the results ?	結果呢 ?
1 , 000 ?	一千萬個 ?
check .	仔細看 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
yeah !	是的 !
relationships .	關係 。
thank you .	感謝各位 。
what is ?	什麼是 ?
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thank you .	感謝各位 。
thanks .	感謝 。
thank you .	感謝各位 。
wonderful .	很棒 。
thank you .	感謝各位 。
how much ?	多麼 ?
right ?	對嗎 ?
why ?	為什麼 ?
it's doubling every 18 months now .	現在每18個月都很驚訝 。
have we ever heard of a dust mite ?	我們曾經聽過一座塵土嗎 ?
we all have responsibility .	我們都有責任 。
it was a tool of selfdefense .	這是自閉感染的工具 。
i visit her in the hospital .	我訪問她在醫院的醫院 。
and then the surprise turns into hope .	接著 , 令人驚訝的轉變變成希望 。
more homework assignment for you .	對於你來說 , 更多的家人 。
director 2: can you not shut up ?	尊重者2:你不能閉嘴嗎 ?
and now this is a work in progress .	現在 , 這是進步的作品 。
he's from korea originally .	他從韓國開始 。
they're waiting to be circumcised .	他們在等待電路 。
and this is in the process of being built as we speak .	而這也是我們所說的過程 。
the highest concentration is in our brains .	最高的概念就是在我們的腦袋裡 。
the ones i started were much more primitive .	我創立了更多的承諾 。
bulldozing needs to be stopped .	泡沫需要停止 。
you can go and buy some of the great tunes .	你可以去買一些很棒的腫瘤 。
i've been up to its front gates .	我已經在gps前面了 。
now , these are three spectragrams .	現在 , 這些是三種觀點 。
they were almost impossible to swallow .	他們幾乎無法游泳 。
it's an art of communication .	它是溝通藝術的藝術 。
i'm doing time here . this is not my home .	我當時在做這件事 , 這不是我的家 。
you can hear things that you didn't use to hear .	你可以聽見你不用聽到的東西 。
30 , 000 dollars for a night in a hotel .	晚上有三千美金在飯店裡 。
i built that pier with my bare hands .	我和蝙蝠們一起建造這支柱 。
they want to cocreate with me the future .	他們想跟我一起和未來合作 。
this coral is eight meters tall , right .	這條珊瑚是八公尺的 , 是的 。
well , there's no science to suggest .	嗯 , 沒有科學來建議 。
this heroic story is not just another myth .	這個英雄的故事不僅是另一個神話 。
now , this is the history of the next hundred years .	這是下一百年的歷史 。
i'm standing here , balancing .	我站在這裡 , 打開了 。
look , we all know the shocking numbers .	看 , 我們都知道鯊魚數字 。
it's blasting out radiation .	它是把輻射放出輻射 。
she got diabetes . case closed .	她得到了糖尿病 。 例如閉嘴 。
he got caught . he got tried .	他笑了 。 他嘗試了 。
the second reason is it has to do with spending .	第二個原因是 , 花費花費花錢 。
we can look at the pollution from china .	我們能從中國看得到污染的污染 。
h stands for higgs particle .	嗯 , 為希格斯粒子站起來 。
we're about to take a break in a moment .	我們現在要在一瞬間打開一個突破 。
we can't wait to follow the next one . "	我們不能等待下一個 。 」
this is just actually the first one that we tried .	這是我們試圖做的第一件事 。
i said , i also have a pottery .	我說 , 我也有一個池塘 。
we call it the cloud of normality .	我們稱它為 「 正常性 」 。
what is an actress with no stage ?	什麼是沒有舞台的行為 ?
my father was a san franciscan .	我父親是舊金山 。
lol is being used in a very particular way .	洛杉磯是用一種非常特別的方式使用 。
i do not recommend this at all .	我沒有再次收到這一點 。
it can follow chemical gradients .	它可以追蹤化學產業 。
being an artist is the greatest job there is .	身為藝術家是最棒的工作 。
he was a teacher par excellence .	他是一位老師公園 。
i deserve the education that i get here .	我決定我得到的教育 。
this is the callandresponse .	這是 「 尋求 」 的名字 。
they will reap the benefits .	他們會回饋蜜蜂 。
now this looks also like a very good story .	這看起來就像一個很棒的故事 。
you know , innovation's hard work .	你知道 , 創新是很難運作的 。
no , no , i haven't got it .	不 , 不 , 我沒有 。
but a few of the cells survive .	但有幾種細胞生存下來 。
and he kind of nodded , you know ?	他有點無聊 , 你知道嗎 ?
but what do the russians think ?	但俄國人認為什麼 ?
the first one is that they're toxic .	第一個是 , 他們是毒品 。
does anyone want to guess what it is ?	有人想猜它是什麼 ?
for example: mental arithmetic .	舉個例子:心理學 。
we need to take advantage of that .	我們必須採取優勢 。
my tote bag became a little library .	我到巴格變成一個小的圖書館 。
people have been asking this question for a long time .	人們一直在問這個問題 。
choices are a very important part of our lives .	選擇是我們生活的重要部分 。
that's a logical error .	這是一個邏輯作家 。
they've got an apple here from south africa .	他們在南非有個蘋果蘋果 。
even so , we will be long gone by then .	儘管如此 , 我們會很長一段時間 。
that is , a real language has grammar .	這是一個真正的語言 , 真的是語言有奴隸 。
but our mind keeps it pretty simple , yeah ?	但我們的腦袋很簡單 , 對嗎 ?
well , not so , because this is also my problem .	嗯 , 不是如此 , 因為這也是我的問題 。
this optic was 22 feet long .	這個樂觀是22英尺長 。
he was my wingman on the descent .	他是我在沙漠裡的牛奶 。
what have i been hiding for 16 years ?	16年來 , 我一直在雇用16年 ?
guns and bombs are nothing new .	槍枝和炸彈是沒有新的 。
and there was no shortage of evidence .	沒有證據 , 沒有短暫的證據 。
his body had saved his son's life .	他的身體拯救了他的兒子 。
i just took their pictures and pasted them .	我只拍了他們的照片 , 過去了他們 。
let me remind you what we already know .	讓我提醒各位 , 我們已經知道了什麼 。
i hope you see the resemblance .	我希望你們能看到這首詩 。
all this became a childhood memory .	這一切都變成了童年記憶 。
how does a bias become a policy ?	偏見如何變成一個政策 ?
lifespan has increased to 78 .	壽命已經增加了78年了 。
now there's one problem with robots like this .	像這樣的機器人有一種問題 , 像是這樣的機器人 。
we've got to hook them up with parents .	我們必須把他們帶著父母 。
then we bring them right back in and do it again .	接著 , 我們再次把它們帶回去 , 然後再做一次 。
so , the bladder is one such organ .	所以 , 膀胱是其中一個器官 。
they can get deeper mastery over the material .	他們能在材料上變得更深的雄性 。
i want you to make as many new words as possible .	我希望你們能用許多新字來做成可能的 。
they collect 100 thousand liters in one season .	他們在一個季中收集了100個文字 。
what exactly to the people watching this do every day ?	人們每天在看這件事呢 ?
thank you all very much . it was lovely .	非常感謝各位 , 很愛 。
and his thoughts made him reach for katie .	他的思想讓他接觸到韓國 。
the longest at the moment is in japan .	最長的時刻就是日本 。
i should warn you , they're pretty powerful .	我應該警告你 , 他們很有力 。
" i feel closer to my friends and family . "	「 我感覺越來越近我的朋友和家人 。 」
hold your hands together . your other hand on top .	抱著你的雙手 , 你的另一隻手 , 在頂端 。
and when we did that , we found 10 patients .	當我們這麼做時 , 我們發現十個病人 。
it's the order of the four bases .	這是四個蝙蝠的序列 。
it's about being at ease in the water .	在水中 , 它就在水中釋放 。
technology that they could have created in any way they wanted .	科技可以創造出他們想要的方式 。
what happened to our bread in the meantime ?	同時 , 發生了什麼事 ?
go and get your share from the other researchers . "	去找你和其他研究者分享 。 」
we leap into the arms of big placebo .	我們從大地方走到大陸的軍隊 。
he was darwin's cousin .	他是達爾文的皮膚 。
they even hosted juice stations .	他們甚至很熱愛的法官壓力 。
gets up , walks to the corner .	走到角落 , 走到角落 。
finally , we have the partisan barrier .	終於 , 我們有黨派的障礙 。
and it's because of what we feed them .	是因為我們餵養牠們的食物 。
so i went to google earth and learned about africa .	所以我去谷歌 , 了解非洲 。
ah ah , ah ah ah .	啊 , 啊 , 啊 , 啊 !
see , i'm like " fire it up ! "	看吧 , 我說: 「 打開了 ! 」
remember that moment publishing your designs ?	還記得那個時刻 , 發表你的設計嗎 ?
but let's use it consciously .	但 , 我們真的用它來做這件事 。
and i learned how to slow my heart rate down .	我學會如何慢慢慢慢我的心跳跳 。
perhaps our parents suffered from depression .	也許我們的父母受到憂鬱症 。
" poor people are recipients . "	「 窮人是很高興的人 。 」
well , let's see if we can do that .	嗯 , 我們來看看 , 如果我們能做到這一點 。
the cows that are waiting all around us .	等著我們身邊的牛奶 。
here's an experiment we did at harvard .	這是一個我們在哈佛的實驗 。
and in fact , that's what's happening .	事實上 , 這是發生的事 。
i had never heard the word amerasian before .	我從來沒有聽過亞馬里斯 。
did the rest of your family make it out alive ?	你的家人有沒有活下來嗎 ?
we all know that exploration is risky .	我們都知道探索風險是風險的 。
i want you to look at your friend a little bit .	我想要你們看看你的朋友一點 。
now i want you to relax your hand .	現在 , 我希望你們能把你的手放回你的手上 。
but the relationship between them has been supported to change .	但他們之間的關係是支持改變的 。
and we all know that is the hulk .	我們都知道這是哈克 。
it should be the citizen's decision .	它應該是公民的決定 。
we’re going to have some tomorrow .	我們將會有一些小鎮 。
i did this in front of many strangers .	我在許多陌生人面前做這件事 。
likely , i'll lose my way .	很有可能 , 我會失去我的路 。
boston doesn't just have a call center .	波士頓不僅有電話中心 。
these are some famous recent examples .	這些是非常有名的例子 。
i'd never seen that before , but he did .	我從未見過這一點 , 但他做了 。
so i might ask: " who is it for ? "	所以我可能會問: 「 誰是誰 ? 」
this young woman wished also to go to school .	這位年輕女子也希望去上學 。
the kind of relationships when deep speaks to deep .	當深入與深海溝通時 , 感覺有點關係 。
like this character . remember these guys ?	像這樣的角色 , 記得這些傢伙嗎 ?
was it something that took place overnight ?	很明顯地去哪些東西 ?
why ? we look at the inner planets .	為什麼呢 ? 我們觀察到神經星球 。
you know , " sit , sit . "	你知道: 「 坐下 , 坐著 。 」
what shall i talk to her about ? "	我對她說什麼 ? 」
your sense of sight is the fastest .	你的直覺感覺是最快的 。
one i thought had a kidney stone .	有一個我認為有腎臟幹細胞 。
we protested . he signed it .	我們證明了 , 他簽署了 。
it's always the dark side of co2 .	它永遠是二氧化碳的黑暗面 。
that's how the light gets in . "	光是怎麼樣的 。 」
three out of 10 . that's not good .	三分之三 , 這不是很好的 。
stm 4: table coming down .	史蒂芬4:穩定會下降 。
when did we originate as a species ?	當我們把物種變成物種 ?
i can try to be really still for 20 minutes .	我還能試圖在20分鐘內繼續嘗試 。
and this one doesn't have anything for them .	這裡沒有任何東西 。
in six months , how do we train these women ?	在六個月內 , 我們如何訓練這些婦女 ?
imagine making all of our hard materials that way .	想像一下 , 我們所有的困難材料 。
you are enough here at queer kid stuff .	這裡有足夠的小孩 。
i call them lessons to change the world .	我稱它們為 「 改變世界 」 。
and everybody was really happy for me , but me .	大家對我來說很高興 , 但我也很高興 。
two decades ago and now nothing has changed .	兩十年前 , 沒有改變了 。
well , adhd is just one example .	嗯 , 嗯 , 嗯 , 只有一個例子 。
we are not there yet , but pay close attention .	我們還沒在那裡 , 但要靠近注意力 。
so low numbers mean that people worked harder .	所以 , 低數字表示 , 人們比較努力 。
isn't that extraordinary ?	這不是很不凡的嗎 ?
it cost 1 . 7 million dollars to develop .	它花了17000萬美元來開發 。
right ? i mean , somebody's seen him .	對嗎 ? 我的意思是 , 有人看過他 。
so what were the consequences ?	所以 , 後果是什麼 ?
not necessarily , no .	不一定是 , 沒關係 。
there are three reasons why this is the case .	這裡有三個理由 , 原因是這個案例 。
and that's exactly what's happened here .	這裡發生了什麼事 。
jf: raaaaaah !	jf:raaaaaaaa !
she's a high school student .	她是高中學學生 。
feels like it's coming from right there .	感覺就像是來自右邊的 。
no , i don't have a badge .	沒錯 , 我沒有一個壞事 。
that's a rule of thumb .	這是一個拇指的規則 。
i too will join the cult .	我太願意加入犯罪 。
" what are you afraid of ? "	「 你害怕什麼 ? 」
no one's ever seen evolution .	沒有人見過演化 。
this is all you . and this is all us .	這是你 。 這是我們所有的人 。 這是我們 。
this is the most glorious painting .	這是最珍貴的畫 。
i can't write a word of code .	我不能寫程式 。
that's a big skull .	這是個很大的kull 。
so i'm trying to clear it up .	所以 , 我試著明白它 。
it's based on a real life experience .	它是基於真實生活的經驗 。
and that's what weavers are doing .	而這就是我們所做的 。
let's go through the evidence .	我們來看看證據 。
here's a last exercise .	這是最後一個令人興奮的事 。
this is what we call a perfect fifth .	這是我們稱之為 「 完美的第五十五歲 」 。
so , my plea to you is this .	所以 , 我對你們來說是這樣 。
folks like kat and marie .	像katat和瑪麗莎一樣 。
" this is me . " identity .	「 這是我 。 」
these are the solutions that we need to find .	這是我們需要找到的解決方案 。
these differences were highly significant .	這些差異很大 。
who benefits from all of this ?	誰是來自這一切的利益 ?
but you have to have the right tools .	但你必須有權利的工具 。
s : i want to change my life !	湯:我想改變我的人生 !
this is in paris , along the seine .	這是在巴黎 , 在巴黎 。
this was the first i'd heard of it .	這是我第一次聽過的 。
i think that this is a strange moment .	我認為這是一個奇怪的時刻 。
so this is where people went astray again .	所以 , 這是人們再次追蹤的 。
sounds ridiculous , right .	聽起來很荒謬 , 是的 。
third: diplomas are a brand .	第三個: 「 探索 」 是個很棒的 。
basho was a brilliant man .	蝙蝠是很棒的男人 。
this is important to create this exchange .	這是很重要的 , 為了創造出這種交換 。
ooh , this is going to be fun !	噢 , 這會很有趣 !
sadness enveloped maidan .	悲傷讓瑪麗·馬丁被遺忘了 。
this was when we had our " aha ! "	這是我們 「 哈哈 ! 」
feel happier and help save the world .	感覺更快樂 , 拯救世界 。
we have to rehumanize the law .	我們必須重新思考法律 。
translate this into adult language .	翻譯成模擬語言 。
