maybe you've thought about them , too .	或許你認為 , 太多了 。
the answer is: a power plant .	答案是:電廠 。
that's a great arm protection !	這是一個很棒的手臂 。
i write for those same reasons .	我寫了同樣的理由 。
everybody: i am my connectome .	大家:我是我的聯繫 。
so what happened in colombia ?	所以 , 同事發生了什麼事 ?
what will brain theory look like ?	大腦會是什麼樣子 ?
titans need not apply .	歐洲需要沒有應用程式 。
" and you know , how about us ?	「 你知道 , 如何 ?
women lie more to protect other people .	女性會更保護其他人 。
so , how cheap is it ?	所以 , 怎麼樣 ?
this fish actually has high beams .	這魚其實有高的家庭 。
and i remember thinking , this is it .	我記得 , 這個想法是它 。
monkey has like you have .	猴子有像你一樣 。
bg: don't go away .	布里斯:不要離開 。
and we need to do their work now .	我們現在需要做他們的工作 。
and it looked kind of like this .	它看起來有點像這樣 。
" why do you invest in new ideas ?	「 為什麼你投資新的想法 ?
do you have safe housing ? "	你有安全照顧嗎 ? 」
light is incredibly fast .	光是很快的 。
and the light goes through that hole .	光是透過光線 。
you can wait as long as you want .	你可以等待你 。
i'm going to show you this .	我要給各位展示這個 。
a person can never be broken .	一個人永遠不會被拆開 。
and number four: find joy .	第四:找到約翰.
people don't build anything this way .	人們不建造這種方式 。
see , i'm an artist .	我是藝術家 。
we did the design for that 2008 .	我們已經設計了2008年的設計 。
what if you just see or hear it ?	如果你只看到它或聽起來嗎 ?
we are in excellent company .	我們是專業公司 。
these are quadcopters .	這些都是平等的 。
one is that we are always teaching .	第一 , 我們總是教導 。
and i finally have stabilized .	我終於終於有勇氣 。
that's a little bit scary .	這是一個小型的影片 。
what about energy conservation ?	什麼能量呢 ?
now i think it's too easy .	我覺得這太容易 。
they’re thinking about the same things .	他們在思考同樣的事 。
fellas , we are the problem .	女性 , 我們是問題 。
i flew here yesterday .	昨天 , 我坐在那天 。
he even reached 105 meters .	他甚至接近105英尺 。
most people fled abroad .	大部分人都被稱為 「 阿拉伯 」 。
and sometimes they just capture stars .	有時候 , 他們只能用恆星 。
and it's a madeup word .	它是一名字 。
it remembers that it's cancer .	它記得它是癌症 。
got a very short clip here .	這裡有一個很短的影片 。
how are you sleeping ?	你怎麼想 ?
you can start to know where things are .	你可以從哪裡開始知道的東西 。
here is a computer simulation .	這是一個電腦模擬 。
now , that was a long time ago .	當時是長期的長期 。
so let's look to the future .	讓我們看看未來的未來 。
how do you get around it , though ?	但你怎麼做 ?
the west should try it out .	我們應該試著嘗試 。
you need to measure all of them .	你需要測量所有它們 。
let's take a step back .	咱們回到一步 。
it's pretty obvious , right ?	很顯然 , 對吧 ?
i happen to have triplets .	我發生了試驗 。
we actually do it all the time .	我們真的這麼做了 。
nm: okay . sure .	尼:好 , 肯定 。
there were many other things to do .	有許多其他東西 。
so what's going to happen ?	那麼 , 要發生什麼呢 ?
we started with sports .	我們開始和報導 。
okay , what about the sun ?	好吧 ? 太陽能是什麼 ?
dc: there we go .	dd:我們去了 。
it's actually about three percent .	大約是30% 。
and i said , " yes . "	我說: 「 是的 。 」
you really can make this change happen .	你真的能做出改變 。
and they just make better decisions .	他們只是做出更好的決定 。
and what did they notice ?	他們注意到什麼 ?
there's nothing special about it .	沒有特別的東西 。
thank you , thank you so much .	謝謝大家
now , think just for a second .	想想一下 , 第二個 。
imagine that orchestration .	想像一下 , 最重要的是 。
first up is dual processing .	首先 , 重建過程的過程 。
well , i started feeling stronger .	我開始感受到強烈的感覺 。
and they didn't stop there .	他們沒有停下來 。
the first is intensity .	首先是 「 性別 」 。
but that care means also you learn .	但 , 這意味著你學習 。
and people can walk on the building .	人們可以走到建築物 。
and little moments in my life .	在人生中 , 我人生中的小時刻 。
this is my final piece .	這是我的定義 。
because we all stem from africa .	因為我們所有來自非洲 。
meet my friend jonathan .	我的朋友會遇到我的朋友 。
many of you will know this picture .	許多人都知道這張照片 。
they put it online for free .	他們把它放在網路上 。
the rest is in storage .	剩下的餐廳 。
that case is under appeal .	這案例是在應用程式 。
no , no . the other way .	不 , 不 , 另一種方式 。
sn: where . where .	米:在哪裡 , 哪裡 。
i didn't put him in .	我沒有放棄他 。
you're critical .	你是關鍵的 。
she's worried .	她寫了 。
it's loneliness .	它是失去宗教 。
well , this is bad cop .	嗯 , 這是壞事 。
get uniformitarian .	除非非法國 。
and let me just show you that .	讓我展示一下 。
but i can taste things .	但我可以教導一些東西 。
they're just like everyone else .	他們只是像其他人一樣 。
and i'll tell you why .	我會告訴各位 。
in fact , it's not .	事實上 , 它不是 。
and protest is only one .	最重要的是 , 只有一個 。
he was an observer .	他是個觀察者 。
and that's what you get .	這就是你得到的 。
it's easy to bend .	很容易 。
my story is the power of choice .	我的故事是選擇的力量 。
we have to fix our media .	我們必須把我們的媒體放入我們的媒體 。
he looked happy to see me .	他看著我 。
first: financial .	首先:財務 。
and i believe the answer is yes .	我相信答案是的 。
we'd like to understand that .	我們想要了解這一點 。
we can change the incentive .	我們可以改變在最近 。
how are we going to get that ?	我們要怎麼做 ?
so what were we going to do ?	所以我們要做什麼 ?
think for a moment about your car .	想想一下你的車子 。
so what is it that we fear ?	所以 , 我們害怕恐懼嗎 ?
it’s her job to learn .	她的工作是她的工作 。
and the short answer is games .	短暫的答案是遊戲遊戲 。
this is an ecological network .	這是一個心理網絡 。
it's bamboo .	它是蝙蝠 。
they actually want to hear about this .	他們真的想要聽聽聽這一點 。
some of you might have seen it .	有些人可能看到它 。
and i was part of that .	我是一部分的一部分 。
they're not thought of .	他們不是想 。
um , he was happy .	假設他很快樂 。
because what's the difference ?	因為哪些差異呢 ?
it felt futile .	它感受到難民 。
so can we have that second ?	所以我們有第二種呢 ?
yo , what up ?	嗯 , 什麼 ?
so this is a new project .	這是一個新的計畫 。
i've lost that count .	我失去了這個數字 。
i was 16 years old .	我16歲了 。
that's the simple rule .	這是簡單的規則 。
i was no longer homeless .	我不再在家鄉 。
i could make nothing of that .	我可以做任何事 。
why do we care about that ?	我們為何關心 ?
and i could not tell them .	我不能告訴他們 。
what do we have in common ?	我們在常見呢 ?
and that was a hard one .	那很困難 。
dt: absolutely .	d:絕對是絕對 。
so how do we do this ?	我們怎麼做 ?
we had other partners .	我們有其他夥伴 。
guess what it was ?	猜它是什麼 ?
i was lucky .	我很幸運 。
accept the challenge .	接受挑戰 。
so that that's it .	這就是它的 。
space is vast .	空間是空氣 。
they don't want that .	他們不想 。
let me give you an example .	讓我舉個例子 。
and why are my people poor .	為何我窮人 。
and they are what matters .	他們是重要的 。
i don't think so .	我不認為 。
and here's a question .	這是一個問題 。
so this is nick .	這是很棒的 。
because i was a writer .	因為我是個寫家 。
so this is our goal .	這是我們的目標 。
he did not inhale .	他不是在哈哈拉 。
i am a translator .	我是個轉換者 。
and they decided to do it .	他們決定要做 。
right along the fence line .	相對的線線 。
she was 21 years old .	她21歲 。
de: thank you , chris .	謝謝大家
money is not a goal .	錢沒有錢 。
so , they work differently .	所以 , 他們的工作非常不同 。
this is miami .	這是亞利亞 。
now it's real time .	現在是真正的 。
the key is consent .	關鍵是 。
and look after yourself , too .	看著自己 , 太多了 。
how would you feel about that ?	你如何感受到什麼 ?
remember that image from the beginning ?	記得這張圖片嗎 ?
and the car sped off .	車輛的車子 。
so how do we know that ?	所以我們知道嗎 ?
now how could this come about ?	怎麼來呢 ?
it was incredible .	令人驚訝 。
does trust transfer ?	信任會改變嗎 ?
let me take a step back .	讓我回到一步 。
side street in italy .	街上 , 正是街頭 。
that i carry within me .	我把車子放在我身上 。
and i just couldn't .	我只是無法 。
what is wrong with my life ?	我的人生是什麼 ?
how could he be sure ?	他能確定嗎 ?
one fact is not true .	第一 , 不是真正的 。
you see the person live .	你看到一個人生活 。
i think we have power .	我認為我們有權力 。
and it's political .	它是政治 。
the body just learns .	身體只是學習 。
thank you very much .	謝謝大家
and i loved it .	我喜歡它 。
one's a fish .	一個魚 。
it isn't easy .	這不是簡單的 。
thanks very much .	謝謝大家
they are interested .	他們是興趣的 。
thank you very much .	謝謝大家
tt: e .	馬:嗯 。
this is happening by itself .	這樣發生了 。
it's pretty amazing .	很棒 。
thanks . bye .	謝謝大家
jt: okay .	約翰:好吧 !
my name is amit .	我的名字是無限的 。
it's that simple .	這是簡單的 。
so what did we find ?	所以我們發現嗎 ?
so what did we do ?	所以我們做了什麼 ?
thank you very much .	謝謝大家
increasing ?	更容易地說 ?
psychological .	心理學 。
thank you very much .	謝謝大家
thanks for listening .	謝謝大家
a good example is this .	舉個例子是這樣 。
never mention winning .	永遠沒有男性贏得 。
here are two of them .	這裡有兩種 。
day five and day six .	5天 , 六天 , 六天 。
find that which is not .	發現 , 不是 。
rm: thank you .	馬:謝謝你
sent from my brain . "	從我的腦袋 。 "
so how do we solve ?	我們如何解決 ?
well , we did it .	我們做了 。
so how about the brain ?	所以 , 大腦是什麼 ?
eh: not bad .	嗯 , 不是壞事 。
sadly , no .	悲傷的是 , 沒有 。
but nothing else does either .	但沒有任何其他其他東西 。
but there was nothing there .	但 , 沒有任何東西 。
get home to me . "	回到家 。 "
i know that feeling .	我知道這感覺是感覺的 。
this is a brain .	這是大腦 。
this is pattern thinking .	這是思考的模式 。
what happens to education ?	教育呢 ?
i know them well .	我知道他們 。
another place for people .	另一個地方 。
can you save ? "	你可以拯救嗎 ? 」
we propose 10 .	我們選擇1.
see what i mean ?	我的意思是嗎 ?
i love my job .	我愛我的工作 。
js: again .	約翰:再次 。
fantastic .	很棒 。
allow me to explain .	讓我解釋一下 。
give it another try .	給另一個試圖 。
it is life itself .	它是生命 。
which it probably is .	可能是 。
and you wonder why .	你想 , 為什麼 。
what is this map ?	這張圖是什麼 ?
i ran away .	我離開了 。
and the happy result .	快樂的結果 。
is this fair ?	這是公平嗎 ?
he was gone .	他走了 。
punches ?	克里斯嗎 ?
so here we are .	這裡是我們的 。
and they are not .	他們不是 。
that is my life .	這是我人生的人生 。
trust me .	信任 。
we have no idea .	我們沒有想法 。
three main approaches .	第三種方法 。
what would you do ?	你怎麼做 ?
my brain started thinking .	我的大腦開始思考 。
live burial .	生活在生長 。
and look at this .	看看這個 。
hmm .	嗯 。
and so . . .	所以 , 這樣 。
yes and no .	是的 。
all right then .	一切都沒錯了 。
have a look .	有一個看法 。
a new approach .	一個新的方法 。
like anno .	像恐龍一樣 。
oh my god .	噢 ! 我的天啊 !
we see them .	我們看到它們 。
close your eyes .	靠近你的眼睛
and they did .	他們做了 。
there are many .	有許多人 。
the results ?	結果呢 ?
1 , 000 ?	1 , 000人嗎 ?
check .	克里斯.
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
yeah !	是的 !
relationships .	關係 。
thank you .	謝謝大家
what is ?	什麼是 ?
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thank you .	謝謝大家
thanks .	謝謝大家
thank you .	謝謝大家
wonderful .	很棒 。
thank you .	謝謝大家
how much ?	多少 ?
right ?	對吧 ?
why ?	為什麼 ?
it's doubling every 18 months now .	現在 , 每個18個月都在做 。
have we ever heard of a dust mite ?	我們曾經聽過一名被聽過的無限嗎 ?
we all have responsibility .	我們都有責任 。
it was a tool of selfdefense .	它是自閉症的工具 。
i visit her in the hospital .	我村落在醫院裡 。
and then the surprise turns into hope .	結果發現 , 希望希望希望 。
more homework assignment for you .	更多的家庭 , 為你為你 。
director 2: can you not shut up ?	兩者2:你不能打開嗎 ?
and now this is a work in progress .	這正是一份工作 。
he's from korea originally .	他來自韓國或鄰居 。
they're waiting to be circumcised .	他們等等待是圓圈 。
and this is in the process of being built as we speak .	這是我們所建立的過程 。
the highest concentration is in our brains .	在我們的大腦中最高興的是 。
the ones i started were much more primitive .	第一 , 我開始愈來愈多 。
bulldozing needs to be stopped .	泡泡需要停下來 。
you can go and buy some of the great tunes .	你可以去買一些偉大的腫瘤 。
i've been up to its front gates .	我一直站起來 。
now , these are three spectragrams .	這些是三角色 。
they were almost impossible to swallow .	牠們幾乎是不可能的 。
it's an art of communication .	這是一個溝通的藝術 。
i'm doing time here . this is not my home .	我現在正在做 。 這不是我的家 。
you can hear things that you didn't use to hear .	你可以聽到你沒有用聽過的東西 。
30 , 000 dollars for a night in a hotel .	三千美元 , 晚上有30萬美元 。
i built that pier with my bare hands .	我把這支支支支撐起來 。
they want to cocreate with me the future .	他們希望我和未來一起合作 。
this coral is eight meters tall , right .	珊瑚是八十五英尺 。
well , there's no science to suggest .	嗯 , 沒有科學 。
this heroic story is not just another myth .	這位英雄的故事不是我 。
now , this is the history of the next hundred years .	接下來的歷史是一百年 。
i'm standing here , balancing .	我站在這裡 。
look , we all know the shocking numbers .	看看 , 我們所有人都知道鯊魚 。
it's blasting out radiation .	它被釋放出來 。
she got diabetes . case closed .	她有診斷 。
he got caught . he got tried .	他拿了笑 , 他試了 。
the second reason is it has to do with spending .	第二種原因是 , 它必須花花費 。
we can look at the pollution from china .	我們可以看到中國的污染 。
h stands for higgs particle .	愛滋病毒的一部分 。
we're about to take a break in a moment .	我們要花時間在一瞬間 。
we can't wait to follow the next one . "	我們不等等待下一個 。 」
this is just actually the first one that we tried .	這只是我們嘗試的第一個 。
i said , i also have a pottery .	我說 , 我也有一個警察 。
we call it the cloud of normality .	我們稱它為正常 。
what is an actress with no stage ?	什麼是 , 不論如何 ?
my father was a san franciscan .	我的父親是舊金山 。
lol is being used in a very particular way .	倫敦被用來使用非常特別的方法 。
i do not recommend this at all .	我不是在所有人身上做這件事 。
it can follow chemical gradients .	它可以遵循化學成本 。
being an artist is the greatest job there is .	藝術家是藝術家最偉大的工作 。
he was a teacher par excellence .	他是老師的教授 。
i deserve the education that i get here .	我描述教育教育教育的教育 。
this is the callandresponse .	這是 「 祖先 」 的回應 。
they will reap the benefits .	牠們會吸收收益 。
now this looks also like a very good story .	這看起來就像一個非常好的故事 。
you know , innovation's hard work .	你知道 , 創新非常努力 。
no , no , i haven't got it .	不 , 我沒有 , 我沒有得到它 。
but a few of the cells survive .	但有幾種細胞存活 。
and he kind of nodded , you know ?	他覺得不過 , 你知道嗎 ?
but what do the russians think ?	但 , 俄國認為什麼呢 ?
the first one is that they're toxic .	首先是 , 牠們必須性別 。
does anyone want to guess what it is ?	任何人想要猜猜猜它是什麼 ?
for example: mental arithmetic .	舉例來說 , 心理 。
we need to take advantage of that .	我們需要把這點放在這個過程中 。
my tote bag became a little library .	我把嬰兒變成一個小的圖書館 。
people have been asking this question for a long time .	人們被問過這個問題 。
choices are a very important part of our lives .	選擇是我們生活的最重要的部分 。
that's a logical error .	這是一個心理學家 。
they've got an apple here from south africa .	他們來自南非的非洲 。
even so , we will be long gone by then .	最終 , 我們會長久 。
that is , a real language has grammar .	這是真正的語言 。
but our mind keeps it pretty simple , yeah ?	但我們的心態很簡單 , 對吧 ?
well , not so , because this is also my problem .	不是 , 因為這也是我的問題 。
this optic was 22 feet long .	這首歌是2222歲 。
he was my wingman on the descent .	他是我最擔心的名字 。
what have i been hiding for 16 years ?	16年 , 我被逮捕到16年 ?
guns and bombs are nothing new .	槍枝和炸彈完全沒有新 。
and there was no shortage of evidence .	沒有證據的證據 。
his body had saved his son's life .	他的身體拯救了他的身體 。
i just took their pictures and pasted them .	我只花了他們的照片和過去 。
let me remind you what we already know .	讓我提醒各位 , 我們已經知道了什麼 。
i hope you see the resemblance .	我希望你們看到化學反應 。
all this became a childhood memory .	這一切變成一個孩子 。
how does a bias become a policy ?	比例來說 , 如何成為警察嗎 ?
lifespan has increased to 78 .	生命會增加788年 。
now there's one problem with robots like this .	機器人有一個問題 。
we've got to hook them up with parents .	我們必須把他們帶到父母 。
then we bring them right back in and do it again .	然後我們把它們放回來 , 又一次 。
so , the bladder is one such organ .	所以 , 現代是這樣的機械 。
they can get deeper mastery over the material .	他們能得到深層的材料 。
i want you to make as many new words as possible .	我想要讓你們做許多新詞 。
they collect 100 thousand liters in one season .	他們收集了一百個空間 。
what exactly to the people watching this do every day ?	人們每天都在看著這個做什麼 ?
thank you all very much . it was lovely .	謝謝大家
and his thoughts made him reach for katie .	他認為他把他帶到廚房 。
the longest at the moment is in japan .	最長的時刻是日本 。
i should warn you , they're pretty powerful .	我應該要戰爭 , 他們很強大 。
" i feel closer to my friends and family . "	「 我感受到我的朋友和家人 。 」
hold your hands together . your other hand on top .	把你的手放在上面 。
and when we did that , we found 10 patients .	當我們這麼做時 , 我們發現10個病人 。
it's the order of the four bases .	它是四個細菌 。
it's about being at ease in the water .	它在水中 。
technology that they could have created in any way they wanted .	科技可以創造出任何方式 。
what happened to our bread in the meantime ?	什麼事發生在我們花時間呢 ?
go and get your share from the other researchers . "	去跟其他研究者分享你的分享 。 」
we leap into the arms of big placebo .	我們把大小的手臂放到大小的地方 。
he was darwin's cousin .	他是爸爸的同事 。
they even hosted juice stations .	他們甚至會被逮捕 。
gets up , walks to the corner .	走上 , 走走路 。
finally , we have the partisan barrier .	終於 , 我們有一部分的部分 。
and it's because of what we feed them .	是因為我們把它們餵養它們 。
so i went to google earth and learned about africa .	我去google和非洲學習 。
ah ah , ah ah ah .	嗯 , ~ ~ ~ ~ ~ ~
see , i'm like " fire it up ! "	看到 , 我喜歡 「 火火 ! 」
remember that moment publishing your designs ?	記得你設計的時刻嗎 ?
but let's use it consciously .	咱們用它來使用它 。
and i learned how to slow my heart rate down .	我學到了我心臟的心臟 。
perhaps our parents suffered from depression .	或許我們的父母在憂鬱症 。
" poor people are recipients . "	「 貧窮人是快樂的 。 」
well , let's see if we can do that .	嗯 , 讓我們看看我們能做這件事 。
the cows that are waiting all around us .	珊瑚等等待我們周圍的珊瑚 。
here's an experiment we did at harvard .	這是一個實驗 。
and in fact , that's what's happening .	事實上 , 發生了什麼事 。
i had never heard the word amerasian before .	我從來沒有聽過 「 亞洲 」 的詞 。
did the rest of your family make it out alive ?	你的家人做了什麼 ?
we all know that exploration is risky .	我們都知道 , 探索是風險的風險 。
i want you to look at your friend a little bit .	我想要看看你朋友的朋友 。
now i want you to relax your hand .	現在我想要把你的手放到你的手上 。
but the relationship between them has been supported to change .	但他們與他們之間的關係之間的關係 。
and we all know that is the hulk .	我們都知道 , hkkkk 。
it should be the citizen's decision .	它應該是犯罪的決定 。
we’re going to have some tomorrow .	我們必須要花一些聰明 。
i did this in front of many strangers .	我從許多陌生人身上做這件事 。
likely , i'll lose my way .	像這樣 , 我就會失去我的方法 。
boston doesn't just have a call center .	波士頓不僅是中心的中心 。
these are some famous recent examples .	這些都是很大的例子 。
i'd never seen that before , but he did .	我從來沒有看過 , 但他做了 。
so i might ask: " who is it for ? "	我可能會問: 「 誰是誰 ? 」
this young woman wished also to go to school .	這位年輕女士的年輕女士也去學校 。
the kind of relationships when deep speaks to deep .	當深深的關係時 , 深入深刻的關係 。
like this character . remember these guys ?	像這樣的角色 。 記得這些傢伙 ?
was it something that took place overnight ?	什麼是 , 花了什麼東西 ?
why ? we look at the inner planets .	為何 ? 我們看看地球上 。
you know , " sit , sit . "	你知道: 「 姊妹 。 」
what shall i talk to her about ? "	我跟她談到什麼 ? 」
your sense of sight is the fastest .	你的感覺是最快的 。
one i thought had a kidney stone .	其中一個我認為孩子有小孩 。
we protested . he signed it .	我們證明了 。 他簽署了 。
it's always the dark side of co2 .	正是二氧化碳 。
that's how the light gets in . "	這是 「 光 」 。
three out of 10 . that's not good .	三分之一 , 不是好 。
stm 4: table coming down .	直到44:可以走下去 。
when did we originate as a species ?	當我們做一個物種或物種呢 ?
i can try to be really still for 20 minutes .	我可以試著在20分鐘 。
and this one doesn't have anything for them .	這不是為了他們任何東西 。
in six months , how do we train these women ?	在六個月 , 我們如何訓練這些女性 ?
imagine making all of our hard materials that way .	想像各種材料的材料 。
you are enough here at queer kid stuff .	你有足夠的兒子 。
i call them lessons to change the world .	我稱它們為世界改變 。
and everybody was really happy for me , but me .	每個人真的很快樂 , 但我也很快樂 。
two decades ago and now nothing has changed .	兩十年前 , 沒改變了 。
well , adhd is just one example .	嗯 , 嗯 , 舉個例子 。
we are not there yet , but pay close attention .	我們不存在 , 但付出注意力的注意力 。
so low numbers mean that people worked harder .	低數數字意味著人們努力努力 。
isn't that extraordinary ?	這不是令人興奮的嗎 ?
it cost 1 . 7 million dollars to develop .	它有17億美元 。
right ? i mean , somebody's seen him .	我的意思是 , 有人看到他 。
so what were the consequences ?	那麼 , 會是什麼 ?
not necessarily , no .	不是鄰居 , 沒有 。
there are three reasons why this is the case .	有三種原因是為什麼這個案例 。
and that's exactly what's happened here .	這正是發生的 。
jf: raaaaaah !	jh:aaaaaa !
she's a high school student .	她是個高級學校 。
feels like it's coming from right there .	感覺是從右邊的 。
no , i don't have a badge .	不 , 我沒有壞忘記 。
that's a rule of thumb .	這是一條規則 。
i too will join the cult .	我太會加入公民 。
" what are you afraid of ? "	「 你是甚麼 ? 」
no one's ever seen evolution .	沒有人看過革命 。
this is all you . and this is all us .	這是你 。
this is the most glorious painting .	這是最高的痛苦 。
i can't write a word of code .	我不能寫程式的字 。
that's a big skull .	這是一個巨大的學生 。
so i'm trying to clear it up .	所以我試著清楚清楚它 。
it's based on a real life experience .	基於真實經驗的經驗 。
and that's what weavers are doing .	這就是我們最喜歡做的 。
let's go through the evidence .	咱們來看看證據 。
here's a last exercise .	這是最後一個探險 。
this is what we call a perfect fifth .	我們稱之為 「 完美 」 。
so , my plea to you is this .	所以 , 我的女兒是這樣 。
folks like kat and marie .	像凱克和瑪麗和瑪麗 。
" this is me . " identity .	「 這是我 。 」
these are the solutions that we need to find .	這些是我們需要找到的解決方案 。
these differences were highly significant .	這些差異的差異是較高的 。
who benefits from all of this ?	誰來自這一切 ?
but you have to have the right tools .	但你必須有權利 。
s : i want to change my life !	馬:我想要改變我的人生 !
this is in paris , along the seine .	這是在醫院 , 一邊是醫院 。
this was the first i'd heard of it .	這是我第一次聽過的 。
i think that this is a strange moment .	我覺得這是個奇怪的時刻 。
so this is where people went astray again .	所以 , 人們再次再次追蹤 。
sounds ridiculous , right .	聽起來很大 , 右邊 。
third: diplomas are a brand .	第三: 「 南方 」 是一個英國 。
basho was a brilliant man .	嬰兒是一名很棒的傢伙 。
this is important to create this exchange .	重要的是 , 創造出這三角形 。
ooh , this is going to be fun !	噢 , 這將會是有趣的 !
sadness enveloped maidan .	悲劇演化成了 。
this was when we had our " aha ! "	這時候我們有我們的 「 哈哈 ! 」
feel happier and help save the world .	感覺快樂和幫助世界拯救世界 。
we have to rehumanize the law .	我們必須把法律分為法律 。
translate this into adult language .	轉換這個語言 。
but we know that it's just not new .	但我們知道 , 不只是新的 。
the result of that was pretty dramatic .	結果是 , 非常令人驚訝 。
second man: it's driving itself .	第二個男子:它是自動的 。
they had completely different number systems as well .	他們有完全不同的數字 。
and made the beams going around the house .	把房子轉到房間 。
one of them was this grandmother .	其中之一是這個祖母 。
surely , several questions arose .	當然 , 性問題是 , 性別的問題 。
live at ted , y'all .	生活在ted裡 , 阿拉伯 。
clearly we don't have 10 planets .	顯然我們沒有10個星球 。
voting gives me a voice and power .	革命給我一個聲音和力量 。
but the data didn't look like a planet .	但數據並不像一個星球 。
and we stopped trying to save these lives .	我們停止嘗試拯救這些生命 。
but i want you for another purpose .	但我想要給你們另一個目標 。
but why is the question always do they love us ?	但為什麼他們總是愛我們嗎 ?
i think some people agree with me .	我覺得有些人和我同意 。
so all the animals were drawn to the water .	所有動物都畫出水 。
he hung out with the beatles .	他和牠的肺結合在一起 。
now , how do you create compassion ?	現在 , 你如何創造出複雜的同情 ?
it's amazing , the power of one word .	很棒的是 , 一名字的力量 。
our humanity is actually defined by technology .	我們的人類對科技的定義是以科技的定義
i get hate speech for that .	我很討厭這一點 。
people are looking for recognition .	人們在尋找宗教 。
texting has a 100 percent open rate .	電話有100%的開放 。
you create your own reality , and you believe it .	你創造自己的現實 , 你相信它 。
a huge scandal for a few weeks .	幾週前 , 幾個星期 。
we internalize ideas from our socialization .	我們從社會化的角度 。
