maybe you've thought about them , too .	也許你也想過他們 , 也是這樣 。
we thought of people as a liability .	我們認為人們是有能力的 。
he called them " partons . "	他稱之為 「 派派 」 。
we actually have to do something about it .	我們必須做一些事 。
and the other way is to share stories .	另一種方式是分享故事 。
so here's the quiz .	這裡是液態 。
that is how our women dress .	這就是我們婦女的戲劇 。
i've been that ahole .	我已經這樣做了 。
we should retain those people .	我們應該維持這些人 。
and this is where the story begins .	這是故事開始的地方 。
and so this is what i tell them .	這就是我所說的 。
it's just the way it is .	它只是這樣 。
it did have a ram pack .	它有一條很快的路徑 。
ninetyseven percent .	百分之九十 。
hk: yay .	hk:yyyy 。
and yeah , we're there .	是的 , 我們在那裡 。
now let's look to the future .	現在我們來看看未來 。
and they masturbated .	牠們會傷害 。
that's in the united states .	這是美國 。
that's what i want to know .	這就是我想要知道的 。
we're talking about our mind .	我們在談我們的心智 。
and he showed her the lever .	然後他給她看了她 。
i don't know the answers .	我不知道答案 。
right ? how do you capture that ?	對吧 ? 你要如何捕捉 ?
we got to our campsite .	我們必須要到我們的營地 。
he talked to me about his children .	他跟我談他的孩子 。
now people had to take an action .	現在人們必須採取行動 。
that's an easy question , right ?	這是個很簡單的問題 , 對吧 ?
what about the rest of the pie ?	怎麼樣呢 ?
nn: thank you for asking .	尼:謝謝謝你問 。
why am i telling you this story ?	為什麼我要告訴你們這個故事 ?
now we say , oh , my god .	現在我們說 , 噢 , 我的神 。
" will my kid be all right ? "	「 我的孩子會對嗎 ? 」
the greenest class in new york city .	在紐約市 , 最綠的教堂 。
can never tell if it's on .	永遠不會說 , 如果是這樣 。
phone: hey , where are you ?	電話:嘿 , 你在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音 。
oh , look how it lies there .	噢 , 看看它怎麼樣 。
gone , gone , gone .	去吧 , 去吧 , 去吧 。
the answer is: a power plant .	答案是:一個電廠 。
that's a great arm protection !	這是一個很棒的軍隊保護 !
i write for those same reasons .	我寫了同樣的理由 。
everybody: i am my connectome .	大家:我是我的聯繫 。
so what happened in colombia ?	所以 , 在哥倫比亞發生什麼事 ?
what will brain theory look like ?	腦部會是什麼樣子 ?
titans need not apply .	組織不需要應用 。
" and you know , how about us ?	「 你知道 , 你知道嗎 ?
women lie more to protect other people .	女性更加保護別人 。
so , how cheap is it ?	所以 , 如何便宜呢 ?
this fish actually has high beams .	這隻魚其實有高的家庭 。
and i remember thinking , this is it .	我記得 , 這是這樣 。
monkey has like you have .	猴子就像你一樣 。
bg: don't go away .	布:不要離開 。
and we need to do their work now .	我們現在需要做他們的工作 。
and it looked kind of like this .	它看起來像這樣 。
" why do you invest in new ideas ?	「 為什麼你投資在新想法上 ?
do you have safe housing ? "	你有安全的熱情嗎 ? 」
light is incredibly fast .	光很快 。
and the light goes through that hole .	光穿過那個洞 。
you can wait as long as you want .	你可以等待你想要的 。
i'm going to show you this .	我要給你們看 。
a person can never be broken .	一個人無法被打破 。
and number four: find joy .	第四:找到喜悅 。
people don't build anything this way .	人們不用這樣做 。
see , i'm an artist .	我是個藝術家 。
we did the design for that 2008 .	我們在2008年做這個設計 。
what if you just see or hear it ?	如果你只是看到或聽到它呢 ?
we are in excellent company .	我們在外交公司裡 。
these are quadcopters .	這些都是量子記者 。
one is that we are always teaching .	其中一個是 , 我們總是在教學 。
and i finally have stabilized .	最後 , 我終於有穩定 。
that's a little bit scary .	這有點可怕 。
what about energy conservation ?	能源消耗是什麼呢 ?
now i think it's too easy .	我覺得這太簡單了 。
they’re thinking about the same things .	他們在想著同樣的事 。
fellas , we are the problem .	嗯 , 我們是問題 。
i flew here yesterday .	昨天我來到這裡 。
he even reached 105 meters .	他甚至達到105公尺 。
most people fled abroad .	大部分人都把一個麵包帶走了 。
and sometimes they just capture stars .	有時 , 他們只是捕捉恆星 。
and it's a madeup word .	這是個很蠢的字 。
it remembers that it's cancer .	記住它是癌症的 。
got a very short clip here .	這裡有個很短的影片 。
how are you sleeping ?	你要怎麼睡 ?
you can start to know where things are .	你可以開始了解事物 。
here is a computer simulation .	這是電腦模擬 。
now , that was a long time ago .	很久以前 , 這是個很長的時間 。
so let's look to the future .	我們來看看未來 。
how do you get around it , though ?	但你要怎麼走到它 , 怎麼辦 ?
the west should try it out .	西方應該試圖 。
you need to measure all of them .	你需要測量所有人 。
let's take a step back .	讓我們回到一步 。
it's pretty obvious , right ?	很明顯 , 對吧 ?
i happen to have triplets .	我發生了試驗 。
we actually do it all the time .	事實上 , 我們都這麼做 。
nm: okay . sure .	尼:好的 。
there were many other things to do .	有許多其他東西來做的事 。
so what's going to happen ?	所以 , 接下來發生什麼事 ?
we started with sports .	我們從運動開始 。
okay , what about the sun ?	好 , 太陽能是什麼 ?
dc: there we go .	dc:我們去了 。
it's actually about three percent .	其實是大約三分之三的 。
and i said , " yes . "	我說: 「 是的 。 」
you really can make this change happen .	你可以讓這個改變發生 。
and they just make better decisions .	他們只是做更好的決定 。
and what did they notice ?	他們注意到什麼 ?
there's nothing special about it .	沒什麼特別的 。
thank you , thank you so much .	非常謝謝 。
now , think just for a second .	現在 , 想想一下 。
imagine that orchestration .	想像一下 , 行星 。
first up is dual processing .	首先是鴨子處理過程 。
well , i started feeling stronger .	我開始更強烈的感覺 。
and they didn't stop there .	他們沒有停下來 。
the first is intensity .	首先是強烈的 。
but that care means also you learn .	但那就表示你學習 。
and people can walk on the building .	人們可以走進建築上 。
and little moments in my life .	我生活中的小時刻 。
this is my final piece .	這是我的財務作品 。
because we all stem from africa .	因為我們來自非洲各地 ,
meet my friend jonathan .	遇見我的朋友約翰 。
many of you will know this picture .	很多人會知道這張照片 。
they put it online for free .	他們把它放在網路上 。
the rest is in storage .	另一個是儲存的 。
that case is under appeal .	這個案例是很明顯的 。
no , no . the other way .	不 , 另一種方式 。
sn: where . where .	丹:在哪裡 。
i didn't put him in .	我不把他放進 。
you're critical .	你是關鍵的 。
she's worried .	她擔心 。
it's loneliness .	這是孤立的 。
well , this is bad cop .	這是很糟糕的咖啡 。
get uniformitarian .	取得獨立主義者 。
and let me just show you that .	讓我來看看 。
but i can taste things .	但我可以教材 。
they're just like everyone else .	他們就像所有人一樣 。
and i'll tell you why .	我會告訴你為什麼 。
in fact , it's not .	事實上 , 這不是 。
and protest is only one .	證明只有一個 。
he was an observer .	他是觀察者 。
and that's what you get .	這就是你所得到的 。
it's easy to bend .	很容易是盲目 。
my story is the power of choice .	我的故事是選擇的力量 。
we have to fix our media .	我們必須解決我們的媒體 。
he looked happy to see me .	他看著我 。
first: financial .	首先:財務 。
and i believe the answer is yes .	我相信答案是的 。
we'd like to understand that .	我們想要了解這一點 。
we can change the incentive .	我們可以改變直覺 。
how are we going to get that ?	我們要怎麼做 ?
so what were we going to do ?	所以 , 我們要怎麼做 ?
think for a moment about your car .	想像一下你的車子 。
so what is it that we fear ?	所以 , 我們害怕嗎 ?
it’s her job to learn .	這是她的工作 。
and the short answer is games .	簡單的答案是遊戲 。
this is an ecological network .	這是生態網路 。
it's bamboo .	這是竹子 。
they actually want to hear about this .	他們真的想聽這一點 。
some of you might have seen it .	有些人可能會看到它 。
and i was part of that .	我就是這樣 。
they're not thought of .	他們不認為 。
um , he was happy .	假設 , 他很高興 。
because what's the difference ?	因為有什麼差異呢 ?
it felt futile .	感覺到難民 。
so can we have that second ?	所以 , 我們能否有第二個 ?
yo , what up ?	哇 , 什麼 ?
so this is a new project .	這是一個新的計畫 。
i've lost that count .	我失去了這個數字 。
i was 16 years old .	我十六歲 。
that's the simple rule .	這是簡單的規則 。
i was no longer homeless .	我不再家鄉 。
i could make nothing of that .	我可以做任何事 。
why do we care about that ?	為什麼我們要關心這個呢 ?
and i could not tell them .	我不能告訴他們 。
what do we have in common ?	我們有什麼共同點呢 ?
and that was a hard one .	這很困難 。
dt: absolutely .	dd:絕對是 。
so how do we do this ?	所以我們要怎麼做呢 ?
we had other partners .	我們有其他夥伴 。
guess what it was ?	猜到底是什麼 ?
i was lucky .	我很幸運 。
accept the challenge .	接受挑戰 。
so that that's it .	這就是這樣 。
space is vast .	空間是隱形的 。
they don't want that .	他們不想 。
let me give you an example .	讓我舉一個例子 。
and why are my people poor .	為什麼我是窮人 。
and they are what matters .	他們是很重要的 。
i don't think so .	我不這麼想 。
and here's a question .	這是一個問題 。
so this is nick .	這是nick 。
because i was a writer .	因為我是作家 。
so this is our goal .	這是我們的目標 。
he did not inhale .	他沒有在哈拉 。
i am a translator .	我是個透明者 。
and they decided to do it .	他們決定這麼做 。
right along the fence line .	相反的線上 。
she was 21 years old .	她21歲 。
de: thank you , chris .	丹:謝謝 , 克里斯 。
money is not a goal .	錢不是目標 。
so , they work differently .	所以 , 他們也不同 。
this is miami .	這是俄亥俄 。
now it's real time .	現在 , 這是真正的時間 。
the key is consent .	關鍵是保守 。
and look after yourself , too .	看著自己 , 同時也看了自己 。
how would you feel about that ?	你要怎麼感覺 ?
remember that image from the beginning ?	記住這張圖嗎 ?
and the car sped off .	車子停下來 。
so how do we know that ?	我們要怎麼知道 ?
now how could this come about ?	怎麼來呢 ?
it was incredible .	很不可思議 。
does trust transfer ?	信任轉變嗎 ?
let me take a step back .	讓我回到一步 。
side street in italy .	一邊的街道 。
that i carry within me .	那是我在我身上的車子 。
and i just couldn't .	我只是不能 。
what is wrong with my life ?	我的生命有什麼問題 ?
how could he be sure ?	他要怎麼確定 ?
one fact is not true .	其中一個事實不是事實 。
you see the person live .	你看到那個人的生活 。
i think we have power .	我認為我們有權力 。
and it's political .	這是政治 。
the body just learns .	身體只是學習 。
thank you very much .	非常感謝 。
and i loved it .	我喜歡它 。
one's a fish .	其中一個魚 。
it isn't easy .	這不是很容易 。
thanks very much .	非常感謝 。
they are interested .	他們很感興趣 。
thank you very much .	非常感謝 。
tt: e .	艾:嗯 。
this is happening by itself .	這是自身的 。
it's pretty amazing .	很棒 。
thanks . bye .	由於 。
jt: okay .	約翰:好的 。
my name is amit .	我的名字是承諾 。
it's that simple .	這是這樣簡單的 。
so what did we find ?	所以我們發現了什麼 ?
so what did we do ?	所以 , 我們怎麼做 ?
thank you very much .	非常感謝 。
increasing ?	增加嗎 ?
psychological .	心理學 。
thank you very much .	非常感謝 。
thanks for listening .	對於聆聽 。
a good example is this .	好的例子是這樣 。
never mention winning .	從來沒有提到勝利 。
here are two of them .	這裡有兩個 。
day five and day six .	每天和六天 。
find that which is not .	發現這不是 。
rm: thank you .	馬:謝謝 。
sent from my brain . "	把我的腦袋送到我的腦袋 。 」
so how do we solve ?	所以我們要怎麼解決 ?
well , we did it .	嗯 , 我們做了 。
so how about the brain ?	所以 , 大腦如何 ?
eh: not bad .	艾:不錯 。
sadly , no .	可悲的是 , 不 。
but nothing else does either .	但沒有其他事 。
but there was nothing there .	但沒有任何東西 。
get home to me . "	回到我 。 」
i know that feeling .	我知道這個感覺 。
this is a brain .	這是一個大腦 。
this is pattern thinking .	這是模式 。
what happens to education ?	教育呢 ?
i know them well .	我知道他們 。
another place for people .	另一個人 。
can you save ? "	你可以拯救嗎 ? 」
we propose 10 .	我們提到10 。
see what i mean ?	看看我是什麼意思 ?
i love my job .	我愛我的工作 。
js: again .	約翰:再次 。
fantastic .	很棒 。
allow me to explain .	讓我來解釋 。
give it another try .	給另一個試驗 。
it is life itself .	它是生命本身 。
which it probably is .	可能是這樣 。
and you wonder why .	你也納悶為什麼 。
what is this map ?	這張圖是什麼 ?
i ran away .	我離開了 。
and the happy result .	快樂的結果 。
is this fair ?	這是公平嗎 ?
he was gone .	他去了 。
punches ?	普通嗎 ?
so here we are .	所以 , 我們在這裡 。
and they are not .	他們不是 。
that is my life .	這是我的人生 。
trust me .	信任我 。
we have no idea .	我們沒有想法 。
three main approaches .	三種主要的方法 。
what would you do ?	你會怎麼做 ?
my brain started thinking .	我的大腦開始思考 。
live burial .	居住 。
and look at this .	看看這個 。
hmm .	嗯 。
and so . . .	所以 。
yes and no .	是的 。
all right then .	然後 , 就這樣 。
have a look .	看看 。
a new approach .	一個新的方法 。
like anno .	像恐龍一樣 。
oh my god .	噢 !
we see them .	我們看到他們 。
close your eyes .	靠近你的眼睛 。
and they did .	他們做了 。
there are many .	有許多 。
the results ?	結果呢 ?
1 , 000 ?	一千 , 000名 ?
check .	看看 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
yeah !	是的 !
relationships .	關係 。
thank you .	大家 。
what is ?	什麼是呢 ?
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thank you .	大家 。
thanks .	大家 。
thank you .	大家 。
wonderful .	很好 。
thank you .	大家 。
how much ?	多少 ?
right ?	對吧 ?
why ?	為什麼 ?
it's doubling every 18 months now .	每天在18個月內 ,
have we ever heard of a dust mite ?	我們曾經聽過一堆鴨子嗎 ?
we all have responsibility .	我們都有責任 。
it was a tool of selfdefense .	這是自私的工具 。
i visit her in the hospital .	我把她放在醫院裡 。
and then the surprise turns into hope .	接著 , 令人驚訝的發現了希望 。
more homework assignment for you .	更回到家鄉 。
director 2: can you not shut up ?	直升機2:你能不能打開嗎 ?
and now this is a work in progress .	現在 , 這是進展的作品 。
he's from korea originally .	他從韓國或韓國 。
they're waiting to be circumcised .	他們等待成為圓圈 。
and this is in the process of being built as we speak .	這是我們所建造的過程 。
the highest concentration is in our brains .	最高的部分是 , 在我們的腦中 。
the ones i started were much more primitive .	我開始更豐富 。
bulldozing needs to be stopped .	泡泡需要停止 。
you can go and buy some of the great tunes .	你可以去買一些很棒的隧道 。
i've been up to its front gates .	我一直站在前面 。
now , these are three spectragrams .	現在 , 這些是三個觀點 。
they were almost impossible to swallow .	他們幾乎無法游泳 。
it's an art of communication .	這是一個溝通的藝術 。
i'm doing time here . this is not my home .	我現在正在做 , 這不是我的家 。
you can hear things that you didn't use to hear .	你可以聽見你不用聽到的東西 。
30 , 000 dollars for a night in a hotel .	一晚有三萬美金 。
i built that pier with my bare hands .	我和我的小手建立了這隻手 。
they want to cocreate with me the future .	他們想要和我一起合作 。
this coral is eight meters tall , right .	這個珊瑚是八公尺 , 是的 。
well , there's no science to suggest .	嗯 , 有沒有科學來建議 。
this heroic story is not just another myth .	這故事不僅僅僅僅僅僅僅僅是另一位 。
now , this is the history of the next hundred years .	這是下一百年來的歷史 。
i'm standing here , balancing .	我站在這裡 , 細節 。
look , we all know the shocking numbers .	看來 , 我們都知道 , 鯊魚數目 。
it's blasting out radiation .	它是把輻射出來的 。
she got diabetes . case closed .	她得到了糖尿病 。
he got caught . he got tried .	他被抓到 , 他嘗試了 。
the second reason is it has to do with spending .	第二個原因是 , 它必須花錢 。
we can look at the pollution from china .	我們能從中國看得到污染 。
h stands for higgs particle .	對於希格斯粒子的影響 。
we're about to take a break in a moment .	我們要在一瞬間打破一個突破 。
we can't wait to follow the next one . "	我們不能等待下一個 。 」
this is just actually the first one that we tried .	這是我們第一次嘗試的第一個 。
i said , i also have a pottery .	我說 , 我也有個警察 。
we call it the cloud of normality .	我們稱它為正常的角度 。
what is an actress with no stage ?	什麼是沒有壓力的行為呢 ?
my father was a san franciscan .	我父親是舊金山 。
lol is being used in a very particular way .	洛杉磯是用一個特別的方式 。
i do not recommend this at all .	我並不是這樣做 。
it can follow chemical gradients .	它可以追蹤化學課程 。
being an artist is the greatest job there is .	身為藝術家是最棒的工作 。
he was a teacher par excellence .	他是老師的專家 。
i deserve the education that i get here .	我決定教育我在這裡的教育 。
this is the callandresponse .	這是 「 擴展 」 。
they will reap the benefits .	他們會回應蜜蜂 。
now this looks also like a very good story .	這看起來像個非常好的故事 。
you know , innovation's hard work .	你知道 , 創新的努力 。
no , no , i haven't got it .	不 , 我沒有它 。
but a few of the cells survive .	但有些細胞倖存 。
and he kind of nodded , you know ?	你知道嗎 ?
but what do the russians think ?	但俄國人認為什麼 ?
the first one is that they're toxic .	第一個是 , 他們是毒品 。
does anyone want to guess what it is ?	有人想猜猜它是什麼 ?
for example: mental arithmetic .	例如:心理學家 。
we need to take advantage of that .	我們需要採取這一點 。
my tote bag became a little library .	我的孩子變成一個小的圖書館 。
people have been asking this question for a long time .	人們一直問這個問題 。
choices are a very important part of our lives .	選擇是我們生活的重要部分 。
that's a logical error .	這是一個邏輯的角度 。
they've got an apple here from south africa .	他們從南非有一種蘋果 。
even so , we will be long gone by then .	即使如此 , 我們就會很長一步 。
that is , a real language has grammar .	這是一個真正的語言 。
but our mind keeps it pretty simple , yeah ?	但我們的想法保持很簡單 , 對吧 ?
well , not so , because this is also my problem .	不是如此 , 因為這也是我的問題 。
this optic was 22 feet long .	這是22英尺長 。
he was my wingman on the descent .	他是我在沙漠上寫的 。
what have i been hiding for 16 years ?	我十六年來一直在躲藏什麼 ?
guns and bombs are nothing new .	槍枝和炸彈都沒有新 。
and there was no shortage of evidence .	沒有短暫的證據 。
his body had saved his son's life .	他的身體拯救了他的兒子 。
i just took their pictures and pasted them .	我只是拿了他們的照片 , 過去了他們 。
let me remind you what we already know .	讓我提醒你們我們已經知道的 。
i hope you see the resemblance .	我希望你們能看到這首歌 。
all this became a childhood memory .	這一切都變成童年記憶 。
how does a bias become a policy ?	該如何成為一個政策 ?
lifespan has increased to 78 .	壽命增加到788年 。
now there's one problem with robots like this .	現在還有一個問題 , 像這樣 。
we've got to hook them up with parents .	我們必須把他們帶上父母 。
then we bring them right back in and do it again .	然後我們把他們帶回去 , 做一次 。
so , the bladder is one such organ .	所以 , 膀胱是其中一個器官 。
they can get deeper mastery over the material .	他們能在材料上更深刻的雄性 。
i want you to make as many new words as possible .	我想要讓你們成為可能的新字 。
they collect 100 thousand liters in one season .	他們在一個季節中收集了一百個文字 。
what exactly to the people watching this do every day ?	每天 , 人們在看這個做什麼 ?
thank you all very much . it was lovely .	大家都很感謝 , 很愛 。
and his thoughts made him reach for katie .	他認為他為韓國為韓國 。
the longest at the moment is in japan .	日本最長的時刻是日本 。
i should warn you , they're pretty powerful .	我應該警告你 , 他們很強大 。
" i feel closer to my friends and family . "	「 我對我的朋友和家人感到更接近 。 」
hold your hands together . your other hand on top .	把你的手握起來 , 另一方面 , 你的手 。
and when we did that , we found 10 patients .	當我們這麼做時 , 我們發現了十個病人 。
it's the order of the four bases .	這是四個球的秩序 。
it's about being at ease in the water .	它在水中放入水中 。
technology that they could have created in any way they wanted .	科技可以在任何地方創造出任何方式 。
what happened to our bread in the meantime ?	此時 , 發生了什麼事 ?
go and get your share from the other researchers . "	然後你從其他研究者身上得到你的共享 。 」
we leap into the arms of big placebo .	我們走進大地方的軍隊 。
he was darwin's cousin .	他是達爾文 。
they even hosted juice stations .	他們甚至很熱忱的判斷 。
gets up , walks to the corner .	走到角落 , 走到角落 。
finally , we have the partisan barrier .	最後 , 我們有黨派的障礙 。
and it's because of what we feed them .	原因是因為我們餵養了他們 。
so i went to google earth and learned about africa .	所以我去了谷歌 , 了解到非洲 。
ah ah , ah ah ah .	hhhh , hhhh.
see , i'm like " fire it up ! "	我喜歡: 「 火火了 ! 」
remember that moment publishing your designs ?	記住你設計設計的時刻嗎 ?
but let's use it consciously .	但 , 我們來使用它的內容 。
and i learned how to slow my heart rate down .	我學到如何緩慢我的心跳跳 。
perhaps our parents suffered from depression .	也許我們的父母受到憂鬱 。
" poor people are recipients . "	「 貧窮人是很高興的 。 」
well , let's see if we can do that .	嗯 , 讓我們看看我們是否能做到 。
the cows that are waiting all around us .	正是等待我們周圍的牛群 。
here's an experiment we did at harvard .	這是我們在哈佛大學做的實驗 。
and in fact , that's what's happening .	事實上 , 這是發生的事 。
i had never heard the word amerasian before .	我從來沒有聽過西亞人 。
did the rest of your family make it out alive ?	你的家人做得很活躍嗎 ?
we all know that exploration is risky .	我們都知道 , 探險是風險的 。
i want you to look at your friend a little bit .	我想請你們看看你的朋友一點 。
now i want you to relax your hand .	現在我想要你們把手放回你的手裡 。
but the relationship between them has been supported to change .	但他們之間的關係是支持改變改變的 。
and we all know that is the hulk .	我們都知道那是哈克 。
it should be the citizen's decision .	該是公民決定的 。
we’re going to have some tomorrow .	我們將會有一些必要的箭頭 。
i did this in front of many strangers .	我在很多陌生人面前做這個事 。
likely , i'll lose my way .	像這樣 , 我就會失去我的路 。
boston doesn't just have a call center .	波士頓不僅是中心 。
these are some famous recent examples .	這些是很有名的近期的例子 。
i'd never seen that before , but he did .	我從未見過這一點 , 但他做了 。
so i might ask: " who is it for ? "	所以我可能會問: 「 誰是誰 ? 」
this young woman wished also to go to school .	這位年輕女子們也去上學 。
the kind of relationships when deep speaks to deep .	當深入講話時 , 有點關係 。
like this character . remember these guys ?	像這樣 , 記住這些人嗎 ?
was it something that took place overnight ?	被帶走了一件東西嗎 ?
why ? we look at the inner planets .	為什麼 ? 我們要看看星球 。
you know , " sit , sit . "	你知道 , 「 坐 , 坐下來 。 」
what shall i talk to her about ? "	我跟她談: 「 什麼 ? 」
your sense of sight is the fastest .	你的感覺是最快的 。
one i thought had a kidney stone .	其中一個我認為有腎臟 。
we protested . he signed it .	我們證明了 , 他簽了它 。
it's always the dark side of co2 .	它總是在牛頓的黑暗面 。
that's how the light gets in . "	光是怎麼樣的 。 」
three out of 10 . that's not good .	十分之三 , 這不是好事 。
stm 4: table coming down .	第四:穩定地下去 。
when did we originate as a species ?	當我們身為物種的物種 ?
i can try to be really still for 20 minutes .	我還能嘗試在20分鐘內 。
and this one doesn't have anything for them .	這其中一個人沒有任何東西 。
in six months , how do we train these women ?	六個月內 , 我們如何訓練這些女性 ?
imagine making all of our hard materials that way .	想像我們所有難題的材料 。
you are enough here at queer kid stuff .	你現在就有足夠的小孩 。
i call them lessons to change the world .	我把他們稱為 「 改變世界 」 。
and everybody was really happy for me , but me .	大家都很高興 , 但我 。
two decades ago and now nothing has changed .	兩十年前 , 一切都沒有改變 。
well , adhd is just one example .	嗯 , 嗯 , 只有一個例子 。
we are not there yet , but pay close attention .	我們還沒在那裡 , 但還在關注 。
so low numbers mean that people worked harder .	低量的數字表示 , 人們更努力 。
isn't that extraordinary ?	這不是極端的嗎 ?
it cost 1 . 7 million dollars to develop .	花費1.7萬美元來開發 。
right ? i mean , somebody's seen him .	對吧 ? 我的意思是 , 有人見過他 。
so what were the consequences ?	所以 , 什麼是結果呢 ?
not necessarily , no .	不是必要的 , 不是 。
there are three reasons why this is the case .	有三個原因 , 這就是為什麼這是這樣 。
and that's exactly what's happened here .	這正是發生的事 。
jf: raaaaaah !	jf:saaahah !
she's a high school student .	她是高中學學生學生學生 。
feels like it's coming from right there .	感覺就像是從右邊的 。
no , i don't have a badge .	不 , 我沒有一個壞事 。
that's a rule of thumb .	這是拇指的規則 。
i too will join the cult .	我也會加入犯罪 。
" what are you afraid of ? "	「 你害怕什麼 ? 」
no one's ever seen evolution .	沒有人見過演化 。
this is all you . and this is all us .	這是你 , 這是我們 , 而這是我們 。
this is the most glorious painting .	這是最珍貴的畫 。
i can't write a word of code .	我不能寫一個程式 。
that's a big skull .	這是個很大的皮膚 。
so i'm trying to clear it up .	所以我試著明白它 。
it's based on a real life experience .	這是基於一個真實生活經驗的基礎 。
and that's what weavers are doing .	這就是我們所做的 。
let's go through the evidence .	我們來看看證據 。
here's a last exercise .	這是最後一個運動 。
this is what we call a perfect fifth .	這是我們稱之為完美的第五十五十五歲 。
so , my plea to you is this .	所以 , 我請你們看 , 這是這樣 。
folks like kat and marie .	像凱克和瑪麗 。
" this is me . " identity .	「 這是我 。 」
these are the solutions that we need to find .	這是我們需要找到的解決方案 。
these differences were highly significant .	這些差異很大 。
who benefits from all of this ?	誰是來自這一切的人呢 ?
but you have to have the right tools .	但你必須有權利的工具 。
s : i want to change my life !	s:我想要改變我的人生 !
this is in paris , along the seine .	這是在巴黎 , 等到醫院 。
this was the first i'd heard of it .	這是我第一次聽過的 。
i think that this is a strange moment .	我認為這是一個奇怪的時刻 。
so this is where people went astray again .	所以 , 這是人們再次追蹤的 。
sounds ridiculous , right .	聽起來很奇怪 , 是的 。
third: diplomas are a brand .	第三:鑽石是一座橋 。
basho was a brilliant man .	芭蕾是很棒的男人 。
this is important to create this exchange .	這是很重要的 , 創造這個交易 。
ooh , this is going to be fun !	噢 , 這將會是好玩 !
sadness enveloped maidan .	犧牲了瑪麗 。
this was when we had our " aha ! "	這是我們所謂的 「 哈哈 ! 」
feel happier and help save the world .	感覺更快樂 , 協助拯救世界 。
we have to rehumanize the law .	我們必須重新思考法律 。
translate this into adult language .	翻譯成成成成成成成成成成成成年語言 。
but we know that it's just not new .	但我們知道這不是新 。
the result of that was pretty dramatic .	結果是很戲劇的結果 。
second man: it's driving itself .	第二個男人:它正在驅動自己 。
they had completely different number systems as well .	他們有完全不同的數字 。
and made the beams going around the house .	把房子轉到房子裡 。
one of them was this grandmother .	其中之一是這個祖母 。
surely , several questions arose .	當然 , 幾個問題 。
live at ted , y'all .	在ted , yyyalllllla 。
clearly we don't have 10 planets .	顯然 , 我們沒有10顆行星 。
voting gives me a voice and power .	投票給我一個聲音和力量 。
but the data didn't look like a planet .	但數據並不像一個星球 。
and we stopped trying to save these lives .	我們停止嘗試拯救這些生命 。
but i want you for another purpose .	但我想要給你們一個目的 。
but why is the question always do they love us ?	但為什麼他們總是喜歡我們呢 ?
i think some people agree with me .	我覺得有些人和我同意 。
so all the animals were drawn to the water .	所以所有的動物都畫到水中 。
he hung out with the beatles .	他和蜜蜂一起飢餓 。
now , how do you create compassion ?	現在 , 你要如何創造同情心 ?
it's amazing , the power of one word .	這是很棒的 , 一詞的力量 。
our humanity is actually defined by technology .	我們人類的性是被科技定義的 。
i get hate speech for that .	我對此感到討厭 。
people are looking for recognition .	人們在尋找宗教 。
texting has a 100 percent open rate .	文字有100%的開放率 。
