maybe you've thought about them , too .	也許你也想過 ,
and yeah , we're there .	是的 , 我們在那裡 。
now let's look to the future .	現在我們來看看未來
and they masturbated .	他們很興奮 。
that's in the united states .	在美國 。
that's what i want to know .	這就是我想要知道的 。
we're talking about our mind .	我們談我們的心態 。
and he showed her the lever .	他展示了她的路 。
i don't know the answers .	我不知道答案 。
right ? how do you capture that ?	對吧 ?
we got to our campsite .	我們得到了我們的活動 。
he talked to me about his children .	他跟我談他的孩子 。
now people had to take an action .	現在大家必須採取行動 。
that's an easy question , right ?	這是一個簡單的問題嗎 ?
what about the rest of the pie ?	什麼呢 ?
nn: thank you for asking .	nn:謝你 。
why am i telling you this story ?	為什麼我告訴你們這故事 ?
now we say , oh , my god .	現在 , 喔 , 我的神 。
" will my kid be all right ? "	「 我的小孩都沒錯嗎 ? 」
the greenest class in new york city .	在紐約市 。
can never tell if it's on .	永遠不會告訴你 。
phone: hey , where are you ?	電話:嘿 , 你在哪裡 ?
and her voice was the most powerful voice .	她的聲音是最強大的聲音 。
oh , look how it lies there .	喔 , 看看它 。
gone , gone , gone .	嗯 , 去吧
the answer is: a power plant .	答案是:電廠 。
that's a great arm protection !	這是一個很棒的武裝 !
i write for those same reasons .	我寫了同樣的理由 。
everybody: i am my connectome .	大家:我是聯繫 。
so what happened in colombia ?	所以 , 在哥倫比亞呢 ?
what will brain theory look like ?	大腦會怎樣 ?
titans need not apply .	組織不需要應用 。
" and you know , how about us ?	「 你知道嗎 ?
women lie more to protect other people .	女性更加保護其他人 。
so , how cheap is it ?	所以 , 怎麼回應 ?
this fish actually has high beams .	這魚其實很高 。
and i remember thinking , this is it .	我記得 , 這是 。
monkey has like you have .	猴子就像你一樣
bg: don't go away .	bg:不要走 。
and we need to do their work now .	我們現在需要做工作 。
and it looked kind of like this .	它看起來像這樣 。
" why do you invest in new ideas ?	「 為什麼你投資新的想法 ?
do you have safe housing ? "	你有安全嗎 ? 」
light is incredibly fast .	光很快 。
and the light goes through that hole .	光穿過那個洞
you can wait as long as you want .	你可以等待 。
i'm going to show you this .	我要給你們看 。
a person can never be broken .	一個人無法被破壞 。
and number four: find joy .	第四:找到約翰 。
people don't build anything this way .	人們不建立這種方式 。
see , i'm an artist .	我是個藝術家 。
we did the design for that 2008 .	我們做了2008年的設計
what if you just see or hear it ?	如果你只看到什麼 ?
we are in excellent company .	我們是很棒的公司 。
these are quadcopters .	這些都是普遍的 。
one is that we are always teaching .	第一是 , 我們一直在教 。
and i finally have stabilized .	我終於有穩定 。
that's a little bit scary .	這有點害怕 。
what about energy conservation ?	能源消費是什麼 ?
now i think it's too easy .	我覺得很容易 。
they’re thinking about the same things .	他們在想同樣的事情 。
fellas , we are the problem .	比亞 , 我們是問題 。
i flew here yesterday .	昨天 。
he even reached 105 meters .	他甚至達到105公里 。
most people fled abroad .	大部分人都哭 。
and sometimes they just capture stars .	有時他們只能捕捉星 。
and it's a madeup word .	這是一個很蠢的字
it remembers that it's cancer .	記得癌症 。
got a very short clip here .	有一個很短的影片
how are you sleeping ?	你怎麼想 ?
you can start to know where things are .	你可以開始了解事物 。
here is a computer simulation .	這是一個電腦模擬 。
now , that was a long time ago .	很久以前 。
so let's look to the future .	讓我們來看看未來 。
how do you get around it , though ?	不過 , 你怎麼走 ?
the west should try it out .	我們應該嘗試 。
you need to measure all of them .	你需要測量所有人 。
let's take a step back .	讓我們回來 。
it's pretty obvious , right ?	很明顯 , 對吧 ?
i happen to have triplets .	我成功了
we actually do it all the time .	我們真的這麼做了
nm: okay . sure .	護士:好 。
there were many other things to do .	有許多其他東西 。
so what's going to happen ?	那麼到底發生什麼事 ?
we started with sports .	我們從報告開始
okay , what about the sun ?	好吧 , 太陽呢 ?
dc: there we go .	d:我們去了 。
it's actually about three percent .	實際上大約有三分之一 。
and i said , " yes . "	我說: 「 是的 。 」
you really can make this change happen .	你真的可以改變 。
and they just make better decisions .	他們只是做出更好的決定 。
and what did they notice ?	他們怎麼辦 ?
there's nothing special about it .	沒有特別的 。
thank you , thank you so much .	謝謝
now , think just for a second .	現在 , 第二個 。
imagine that orchestration .	想像一下 ,
first up is dual processing .	首先是處理過程 。
well , i started feeling stronger .	嗯 , 我開始感覺更強
and they didn't stop there .	他們沒有停下來 。
the first is intensity .	第一是很緊的 。
but that care means also you learn .	但這意味著你學了
and people can walk on the building .	人們可以走到建築 。
and little moments in my life .	在我人生中 。
this is my final piece .	這是我的定義 。
because we all stem from africa .	因為我們來自非洲 。
meet my friend jonathan .	我的朋友約翰 。
many of you will know this picture .	很多人都知道這張照片
they put it online for free .	他們把它放在網路上 。
the rest is in storage .	剩下是儲存的
that case is under appeal .	這案例很明顯 。
no , no . the other way .	不 , 另一方面 。
sn: where . where .	諾:在哪裡 。
i didn't put him in .	我不放他 。
you're critical .	你是關鍵的 。
she's worried .	她擔心 。
it's loneliness .	失敗 。
well , this is bad cop .	嗯 , 這是壞事
get uniformitarian .	得到了不平衡 。
and let me just show you that .	讓我展示一下 。
but i can taste things .	但我可以教導事情 。
they're just like everyone else .	他們就像每個人都一樣 。
and i'll tell you why .	我要告訴你為什麼
in fact , it's not .	事實上 , 不是 。
and protest is only one .	證明是唯一的
he was an observer .	他是個觀察者 。
and that's what you get .	這就是你所得到的 。
it's easy to bend .	很容易 。
my story is the power of choice .	我的故事是選擇的力量 。
we have to fix our media .	我們必須解決我們的媒體 。
he looked happy to see me .	他很快樂 。
first: financial .	首先:財富 。
and i believe the answer is yes .	我相信答案是的 。
we'd like to understand that .	我們想要理解 。
we can change the incentive .	我們可以改變 。
how are we going to get that ?	我們要怎麼得到 ?
so what were we going to do ?	我們要做什麼 ?
think for a moment about your car .	想想你的車 。
so what is it that we fear ?	那麼恐懼是什麼 ?
it’s her job to learn .	這是她的工作 。
and the short answer is games .	短短的答案就是遊戲
this is an ecological network .	這是生物網絡 。
it's bamboo .	這是銀行 。
they actually want to hear about this .	他們真的想要聽這件事 。
some of you might have seen it .	有些人可能看過
and i was part of that .	我就是這部分 。
they're not thought of .	他們不想 。
um , he was happy .	嗯 , 他很快樂
because what's the difference ?	因為差異是什麼 ?
it felt futile .	它感覺很難 。
so can we have that second ?	所以 , 我們能有第二個 ?
yo , what up ?	嗯 , 到底是什麼 ?
so this is a new project .	這是一個新的計畫
i've lost that count .	我失去了這個數字 。
i was 16 years old .	我16歲 。
that's the simple rule .	這是簡單的規則 。
i was no longer homeless .	我不再回到家 。
i could make nothing of that .	我無法做到 。
why do we care about that ?	為什麼我們關心 ?
and i could not tell them .	我無法告訴他們 。
what do we have in common ?	我們有什麼共同 ?
and that was a hard one .	這很困難 。
dt: absolutely .	d:絕對 。
so how do we do this ?	我們怎麼做 ?
we had other partners .	我們還有其他夥伴 。
guess what it was ?	猜它是什麼 ?
i was lucky .	我很幸運
accept the challenge .	接受挑戰 。
so that that's it .	這就是
space is vast .	空間是隱形的 。
they don't want that .	他們不想 。
let me give you an example .	讓我舉個例子 。
and why are my people poor .	為什麼我的窮人 。
and they are what matters .	他們是很重要的
i don't think so .	我不想 。
and here's a question .	這是一個問題 。
so this is nick .	這很棒 。
because i was a writer .	因為我是個寫家 。
so this is our goal .	這是我們的目標
he did not inhale .	他沒做過 。
i am a translator .	我是轉譯者 。
and they decided to do it .	他們決定這麼做 。
right along the fence line .	直線 。
she was 21 years old .	她21歲 。
de: thank you , chris .	謝謝 , 克里斯
money is not a goal .	錢不是目標 。
so , they work differently .	所以 , 他們也不同 。
this is miami .	這是麥克 。
now it's real time .	現在是真的 。
the key is consent .	關鍵是 。
and look after yourself , too .	看著自己 ,
how would you feel about that ?	你如何感受到 ?
remember that image from the beginning ?	記得這張圖嗎 ?
and the car sped off .	開車 。
so how do we know that ?	我們怎麼知道 ?
now how could this come about ?	這怎麼可能呢 ?
it was incredible .	很棒 。
does trust transfer ?	信任嗎 ?
let me take a step back .	讓我再回來 。
side street in italy .	在街上 。
that i carry within me .	我在那裏 。
and i just couldn't .	我只是無法 。
what is wrong with my life ?	我的人生是什麼 ?
how could he be sure ?	他如何確保 ?
one fact is not true .	一個事實並非真的 。
you see the person live .	你看到人 。
i think we have power .	我認為我們有力量 。
and it's political .	這是政治 。
the body just learns .	身體只是學習 。
thank you very much .	謝謝
and i loved it .	我喜歡它 。
one's a fish .	一個魚 。
it isn't easy .	這不容易 。
thanks very much .	非常感謝
they are interested .	他們對興趣 。
thank you very much .	謝謝
tt: e .	史蒂芬:
this is happening by itself .	這是自我發生的 。
it's pretty amazing .	很棒 。
thanks . bye .	感謝
jt: okay .	jy:好 。
my name is amit .	我的名字 。
it's that simple .	這很簡單 。
so what did we find ?	我們發現了什麼 ?
so what did we do ?	我們做什麼 ?
thank you very much .	謝謝
increasing ?	很容易嗎 ?
psychological .	心理學 。
thank you very much .	謝謝
thanks for listening .	謝謝聆聽
a good example is this .	好的例子就是這樣
never mention winning .	從來沒有人贏 。
here are two of them .	這裡有兩個 。
day five and day six .	每天五天 。
find that which is not .	發現這不是
rm: thank you .	rm:謝
sent from my brain . "	從我的腦中 。 」
so how do we solve ?	我們如何解決 ?
well , we did it .	我們這麼做了
so how about the brain ?	那麼腦呢 ?
eh: not bad .	嗯 , 沒錯
sadly , no .	悲傷 。
but nothing else does either .	但沒有其他東西 。
but there was nothing there .	但沒有什麼 。
get home to me . "	回到我 。 」
i know that feeling .	我知道這感覺
this is a brain .	這是大腦 。
this is pattern thinking .	這是模式 。
what happens to education ?	教育呢 ?
i know them well .	我知道他們 。
another place for people .	另一個地方 。
can you save ? "	你可以拯救嗎 ? 」
we propose 10 .	我們提到10 。
see what i mean ?	我說什麼意思 ?
i love my job .	我愛我的工作 。
js: again .	約翰:
fantastic .	很棒 。
allow me to explain .	我可以解釋 。
give it another try .	另一個試驗 。
it is life itself .	它是生命本身 。
which it probably is .	這可能是 。
and you wonder why .	你想為什麼 。
what is this map ?	這張圖是什麼 ?
i ran away .	我走了 。
and the happy result .	快樂 。
is this fair ?	這是公平嗎 ?
he was gone .	他走了 。
punches ?	嗯 ?
so here we are .	這裡 。
and they are not .	他們不是 。
that is my life .	這是我的人生 。
trust me .	相信我 。
we have no idea .	我們不知道 。
three main approaches .	第三個方法 。
what would you do ?	你會怎麼做 ?
my brain started thinking .	我的大腦開始思考 。
live burial .	居民 。
and look at this .	看看
hmm .	嗯 。
and so . . .	所以 。
yes and no .	是的 。
all right then .	沒錯 。
have a look .	看 。
a new approach .	一個新的方法 。
like anno .	像是恐龍 。
oh my god .	喔 !
we see them .	我們看到他們 。
close your eyes .	靠近你的眼睛
and they did .	他們做了 。
there are many .	有許多 。
the results ?	結果呢 ?
1 , 000 ?	有1 , 000人 ?
check .	查查 。
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
yeah !	是啊 !
relationships .	關係 。
thank you .	謝謝
what is ?	什麼 ?
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thank you .	謝謝
thanks .	謝謝
thank you .	謝謝
wonderful .	很好 。
thank you .	謝謝
how much ?	多少 ?
right ?	對吧 ?
why ?	為什麼 ?
it's doubling every 18 months now .	每天18個月 。
have we ever heard of a dust mite ?	我們曾經聽過一堆垃圾 ?
we all have responsibility .	我們都有責任 。
it was a tool of selfdefense .	這是自我的工具 。
i visit her in the hospital .	我訪問她醫院 。
and then the surprise turns into hope .	接著 , 令人驚訝 。
more homework assignment for you .	在你身上 。
director 2: can you not shut up ?	總統2:你不能自動 ?
and now this is a work in progress .	現在這是一個工作 。
he's from korea originally .	他來自韓國 ,
they're waiting to be circumcised .	他們正在等待待待 。
and this is in the process of being built as we speak .	這是我們所說的過程 。
the highest concentration is in our brains .	最高的消息就是我們的大腦 。
the ones i started were much more primitive .	我開始更有限 。
bulldozing needs to be stopped .	貢獻需要停止 。
you can go and buy some of the great tunes .	你可以買一些很棒的腫瘤 。
i've been up to its front gates .	我一直站起來 。
now , these are three spectragrams .	這些是三尊重的 。
they were almost impossible to swallow .	他們幾乎不可能游泳 。
it's an art of communication .	這是一個溝通的藝術 。
i'm doing time here . this is not my home .	當時我在做這件事 。
you can hear things that you didn't use to hear .	你可以聽到你不用聽到的東西 。
30 , 000 dollars for a night in a hotel .	一天有30萬美元 。
i built that pier with my bare hands .	我用我的手製造 。
they want to cocreate with me the future .	他們想要和我一起合作 。
this coral is eight meters tall , right .	這珊瑚是八公里的 。
well , there's no science to suggest .	嗯 , 沒有科學 。
this heroic story is not just another myth .	這個英雄的故事不只是另一個 。
now , this is the history of the next hundred years .	這是接下來的幾百年 。
i'm standing here , balancing .	我站在這裡 。
look , we all know the shocking numbers .	看 , 我們都知道發生了 。
it's blasting out radiation .	它正在發射輻射 。
she got diabetes . case closed .	她接近了 。
he got caught . he got tried .	他被逮到 。
the second reason is it has to do with spending .	第二個原因就是要花錢 。
we can look at the pollution from china .	我們可以從中國看得到污染 。
h stands for higgs particle .	為了愛滋病的一部分 。
we're about to take a break in a moment .	我們要花一段時間 。
we can't wait to follow the next one . "	我們不能等待下一個 。 」
this is just actually the first one that we tried .	這只是我們試過的第一件事
i said , i also have a pottery .	我說 , 我也有警察 。
we call it the cloud of normality .	我們稱它為正常性 。
what is an actress with no stage ?	什麼是不穩定的 ?
my father was a san franciscan .	我父親是個舊金山 。
lol is being used in a very particular way .	洛杉磯是非常特別的 。
i do not recommend this at all .	我也沒回應這一切
it can follow chemical gradients .	它可以追蹤化學 。
being an artist is the greatest job there is .	藝術家是最棒的工作 。
he was a teacher par excellence .	他是個老師 。
i deserve the education that i get here .	我得到的教育 。
this is the callandresponse .	這是 「 擴大 」 。
they will reap the benefits .	他們會重新回應 。
now this looks also like a very good story .	這看起來很棒的故事 。
you know , innovation's hard work .	你知道 , 創新很困難 。
no , no , i haven't got it .	不 , 不 , 我沒有 。
but a few of the cells survive .	但有些細胞存活 。
and he kind of nodded , you know ?	他說嗎 ?
but what do the russians think ?	但俄國認為什麼 ?
the first one is that they're toxic .	第一是 , 他們是x 。
does anyone want to guess what it is ?	有人想要猜猜它是什麼 ?
for example: mental arithmetic .	舉例來說 , 財富 。
we need to take advantage of that .	我們需要採取優勢 。
my tote bag became a little library .	我的工具變成一個小小的勇氣 。
people have been asking this question for a long time .	人們一直問這個問題 。
choices are a very important part of our lives .	選擇是非常重要的一部分 。
that's a logical error .	這是一個邏輯 。
they've got an apple here from south africa .	他們有一個來自南非 。
even so , we will be long gone by then .	即便 , 我們就會長久 。
that is , a real language has grammar .	這是真正的語言 。
but our mind keeps it pretty simple , yeah ?	但 , 我們的心想很簡單 , 是嗎 ?
well , not so , because this is also my problem .	嗯 , 這也是我的問題 。
this optic was 22 feet long .	這是22英呎長 。
he was my wingman on the descent .	他是我最擔心的 。
what have i been hiding for 16 years ?	16年來 , 我一直在愛滋病 ?
guns and bombs are nothing new .	猜猜和瓶子沒有新 。
and there was no shortage of evidence .	沒有足夠的證據 。
his body had saved his son's life .	他的身體拯救了他的生命 。
i just took their pictures and pasted them .	我拍了他們的照片和過去
let me remind you what we already know .	讓我提醒我們已經知道的 。
i hope you see the resemblance .	我希望你們看到回報 。
all this became a childhood memory .	這一切都變成一個孩子 。
how does a bias become a policy ?	偏見是什麼 ?
lifespan has increased to 78 .	生命已經增加到78年 。
now there's one problem with robots like this .	現在有一個類似的機器人 。
we've got to hook them up with parents .	我們必須誠實他們 。
then we bring them right back in and do it again .	然後再再再回來 。
so , the bladder is one such organ .	所以 , 兄弟是個機械 。
they can get deeper mastery over the material .	他們可以深入材料 。
i want you to make as many new words as possible .	我希望你們能做很多新的字 。
they collect 100 thousand liters in one season .	他們在一個季節中收集了100英呎 。
what exactly to the people watching this do every day ?	大家每天都在看這個做什麼 ?
thank you all very much . it was lovely .	謝謝大家
and his thoughts made him reach for katie .	他認為他為凱特 。
the longest at the moment is in japan .	當時最長的時刻 。
i should warn you , they're pretty powerful .	我應該戰役 , 他們非常有力 。
" i feel closer to my friends and family . "	「 我對朋友和家人 。 」
hold your hands together . your other hand on top .	把手伸在一起 。
and when we did that , we found 10 patients .	當我們這麼做時 , 我們發現了10個病人 。
it's the order of the four bases .	這是四個蝙蝠 。
it's about being at ease in the water .	它在水中釋放 。
technology that they could have created in any way they wanted .	他們能創造出任何方式 。
what happened to our bread in the meantime ?	時間發生了什麼事 ?
go and get your share from the other researchers . "	到另一個研究者 。 」
we leap into the arms of big placebo .	我們走進大的地方 。
he was darwin's cousin .	他是丹麥 。
they even hosted juice stations .	他們甚至發表法案 。
gets up , walks to the corner .	走上 , 走到咖啡 。
finally , we have the partisan barrier .	最後 , 我們有一部分 。
and it's because of what we feed them .	這是因為我們餵給他們
so i went to google earth and learned about africa .	所以我去google , 了解非洲 。
ah ah , ah ah ah .	啊 , 啊 。
see , i'm like " fire it up ! "	我喜歡 「 火 ! 」
remember that moment publishing your designs ?	記住 , 你設計了你的設計嗎 ?
but let's use it consciously .	但 , 讓我們仔細使用它 。
and i learned how to slow my heart rate down .	我學到了如何緩慢 。
perhaps our parents suffered from depression .	也許我們的父母會受到憂鬱 。
" poor people are recipients . "	「 貧窮的人 。 」
well , let's see if we can do that .	嗯 , 如果我們能做到 。
the cows that are waiting all around us .	煤炭正在等待我們 。
here's an experiment we did at harvard .	這是一個實驗 。
and in fact , that's what's happening .	事實上 , 這是發生的事 。
i had never heard the word amerasian before .	我從來沒聽過這句話
did the rest of your family make it out alive ?	你的家人做了嗎 ?
we all know that exploration is risky .	我們都知道探索是風險 。
i want you to look at your friend a little bit .	我想你們看看你的朋友 。
now i want you to relax your hand .	現在我想要把手放到你的手
but the relationship between them has been supported to change .	但他們之間的關係之間的關係 。
and we all know that is the hulk .	我們都知道 , 是啊 。
it should be the citizen's decision .	它應該是公民的決定 。
we’re going to have some tomorrow .	我們必須有一些勇氣 。
i did this in front of many strangers .	我做了很多陌生人 。
likely , i'll lose my way .	嗯 , 我就會失去我的路 。
boston doesn't just have a call center .	波士不只叫中心 。
these are some famous recent examples .	這些是很有名的例子 。
i'd never seen that before , but he did .	我從未見過 , 但他做了 。
so i might ask: " who is it for ? "	所以我可能會問: 「 誰是誰 ? 」
this young woman wished also to go to school .	這位年輕女兒也去學校 。
the kind of relationships when deep speaks to deep .	深入的關係 。
like this character . remember these guys ?	像這樣 , 記得這些人嗎 ?
was it something that took place overnight ?	很明顯嗎 ?
why ? we look at the inner planets .	為什麼 ?
you know , " sit , sit . "	你知道: 「 姐 。 」
what shall i talk to her about ? "	我要談什麼 ? 」
your sense of sight is the fastest .	你的感受是最快的 。
one i thought had a kidney stone .	我以為有個小孩 。
we protested . he signed it .	我們證明了
it's always the dark side of co2 .	總之有二氧化碳 。
that's how the light gets in . "	這就是光 。 」
three out of 10 . that's not good .	三分之一 。
stm 4: table coming down .	第四:穩定 。
when did we originate as a species ?	當我們做過物種呢 ?
i can try to be really still for 20 minutes .	我還能試著在20分鐘 。
and this one doesn't have anything for them .	這一點都沒有任何東西 。
in six months , how do we train these women ?	在六個月內 , 我們如何訓練這些女人 ?
imagine making all of our hard materials that way .	想像我們所有的材料 。
you are enough here at queer kid stuff .	這裡有足夠的小孩
i call them lessons to change the world .	我稱之為 「 改變 」 。
and everybody was really happy for me , but me .	每個人都很快樂 , 但我 。
two decades ago and now nothing has changed .	兩十年前 , 沒有改變 。
well , adhd is just one example .	嗯 , 只有一個例子 。
we are not there yet , but pay close attention .	我們還沒在那裡 , 但關注 。
so low numbers mean that people worked harder .	所以 , 低價的數字 。
isn't that extraordinary ?	這不是特別的嗎 ?
it cost 1 . 7 million dollars to develop .	它是17億美元的 。
right ? i mean , somebody's seen him .	對吧 ? 有人看過 。
so what were the consequences ?	所以 , 後果是什麼 ?
not necessarily , no .	沒有必要 。
there are three reasons why this is the case .	這裡有三個理由 。
and that's exactly what's happened here .	這就是發生的事 。
jf: raaaaaah !	jfara !
she's a high school student .	她是個高中學的學生 。
feels like it's coming from right there .	感覺像是從右邊 。
no , i don't have a badge .	不 , 我沒有壞 。
that's a rule of thumb .	這是一個規則 。
i too will join the cult .	我太會加入犯罪 。
" what are you afraid of ? "	「 你害怕什麼 ? 」
no one's ever seen evolution .	沒有人看過演化 。
this is all you . and this is all us .	這一切都是我們
this is the most glorious painting .	這是最嚴重的疼痛 。
i can't write a word of code .	我不能寫一個程式 。
that's a big skull .	這是一個很大的凱特 。
so i'm trying to clear it up .	所以我試著清楚 。
it's based on a real life experience .	基於真正的經驗 。
and that's what weavers are doing .	這就是我們最喜歡做的 。
let's go through the evidence .	讓我們來看看證據 。
here's a last exercise .	這是最後一個探索 。
this is what we call a perfect fifth .	這是我們稱之為 「 完美 」 。
so , my plea to you is this .	所以 , 請你們看這個 。
folks like kat and marie .	像凱克和瑪麗 。
" this is me . " identity .	「 這是我 。 」
these are the solutions that we need to find .	這些是我們需要找到的解決方案
these differences were highly significant .	這些差異很大 。
who benefits from all of this ?	誰是誰 ?
but you have to have the right tools .	但你必須擁有權利 。
s : i want to change my life !	:我想改變我的人生 !
this is in paris , along the seine .	這是巴黎的 , 在巴黎 。
this was the first i'd heard of it .	這是我聽過的 。
i think that this is a strange moment .	我認為這是個奇怪的時刻 。
so this is where people went astray again .	所以 , 人們再次去追蹤 。
sounds ridiculous , right .	聽起來很嚴重
third: diplomas are a brand .	第三:探索是布朗 。
basho was a brilliant man .	嬰兒是個很棒的男人 。
this is important to create this exchange .	這很重要 。
ooh , this is going to be fun !	喔 , 這就好玩 !
sadness enveloped maidan .	悲傷 。
this was when we had our " aha ! "	這是我們 「 哈哈哈 ! 」
feel happier and help save the world .	感覺快樂和拯救世界 。
we have to rehumanize the law .	我們必須拒絕法律 。
translate this into adult language .	翻譯成年語 。
but we know that it's just not new .	但我們知道這只是新聞 。
the result of that was pretty dramatic .	結果很棒 。
second man: it's driving itself .	第二個男人:它會自動 。
they had completely different number systems as well .	他們完全不同的數字 。
and made the beams going around the house .	在房子裡 ,
one of them was this grandmother .	其中之一是這個祖母 。
surely , several questions arose .	當然 , 幾個問題 。
live at ted , y'all .	在ted , 哈拉 。
clearly we don't have 10 planets .	很清楚我們沒有10個星球
voting gives me a voice and power .	投票給我一個聲音和力量 。
but the data didn't look like a planet .	但數據並不像地球 。
and we stopped trying to save these lives .	我們停止拯救這些生命 。
but i want you for another purpose .	但我想要給你們一個目的 。
but why is the question always do they love us ?	但為什麼他們總是喜歡我們 ?
i think some people agree with me .	我認為有些人認同我 。
so all the animals were drawn to the water .	所有的動物都畫水 。
he hung out with the beatles .	他的飢餓 。
now , how do you create compassion ?	現在 , 你如何創造同情 ?
it's amazing , the power of one word .	很棒 , 其中一個字 。
our humanity is actually defined by technology .	我們的人類其實是科技的 。
i get hate speech for that .	我討厭這一點 。
people are looking for recognition .	人們在尋找宗教 。
texting has a 100 percent open rate .	電話有100%開放 。
you create your own reality , and you believe it .	你創造自己的現實 , 你相信它 。
a huge scandal for a few weeks .	幾個星期 。
we internalize ideas from our socialization .	我們從社會化的角度來看 。
and then they asked , " is that right ? "	然後他們問: 「 是啊 ? 」
it's a terrible business model .	這是一個很棒的商業模式 。
i just have a technology platform . "	我只是科技平台 。 」
so we are past our 1 , 000th show .	我們已經過去了一千年 。
hi sweetheart . okay .	嗨 。
so that's our general blood work test .	這就是我們的基因研究 。
now , our classrooms could use change .	現在 , 我們的教室可以改變 。
this pattern appears over and over again .	這張圖案再次 。
so each person climbs individually .	所以每個人都很聰明 。
i said , " you're right . "	我說: 「 你是的 。 」
we cut roads through the forest .	我們穿過森林 。
run for your heterosexual lives .	你選擇性生活 。
these are news deserts .	這些都是新的沙漠 。
voice: we need an ambulance .	聲音:我們需要一個能力 。
secondly , it breaks down a lot .	第二 , 它破壞了 。
so , why doesn't it do it ?	所以 , 為什麼不這麼做 ?
comedy is very popular .	嗯 , 非常歡迎
people wrote long and short answers .	人們寫了長久的答案 。
and he said to me , " oh no .	他說: 「 喔 。 」
how early can a rock performance begin ?	早期的表演是什麼 ?
and those young people become older people .	這些年輕人變成老人 。
but for us , the rain is good .	但對於我們來說 , 種族很好 。
this is the word that it talks with .	這是與人談的詞 。
she became the one she was waiting for .	她成為她等待的 。
this easily might not have been .	這很容易 。
it seems mad to talk about nothing .	這似乎很奇怪 。
it's so much fun to drive . "	很有趣 。 」
strike three is menopause .	三是男人 。
now all your different departments .	現在 , 所有不同的辯論 。
on the right , there is a coral .	在右邊 , 有一個珊瑚
a mania for learning english .	為了學習英語 。
and it was a very emotional moment .	這是非常感情的時刻 。
about half a cent a day to run .	大約一半的一天 。
it was , really , a wonderful experience .	這是非常棒的經驗
we have our common sense and our common experience .	我們有共同的感受 。
when did neighbors become friends ?	當鄰居變成朋友 ?
that's me getting mica .	這是我 。
and he felt like he had let her down .	他覺得他會離開 。
other organizations send volunteers .	其他組織送給志工 。
how do you know it when you find it ?	你要怎麼知道 ?
believe me , i think of that , too .	我相信 , 我也一樣 。
or as our friend here would say . . .	或者 , 我們朋友會說
here's their jam aisle .	這是他們的日本 。
ck: yes , that's right .	克:是的 。
this is really destructive .	這真的很嚴重 。
that's david letterman .	達爾曼 。
this is why i am here today with you .	這就是為什麼我今天和你們分享
do you know any artist that does that ?	你知道嗎 ?
the war against terror , yes .	戰爭 , 是的 。
it can feel like the end of the world .	它可以感覺到世界的終極 。
