maybe you've thought about them , too .	也許你也想過 。
a person can never be broken .	一個人永遠無法破壞 。
and number four: find joy .	第四:找到喜悅 。
people don't build anything this way .	人們不會這樣做 。
see , i'm an artist .	我是藝術家 。
we did the design for that 2008 .	2008年 , 我們做了設計 。
what if you just see or hear it ?	如果你只是看到它 ?
we are in excellent company .	我們在外面公司 。
these are quadcopters .	這些都是四分之一 。
one is that we are always teaching .	第一 , 我們總是在教導 。
and i finally have stabilized .	最後我終於穩定了 。
that's a little bit scary .	這有點害怕 。
what about energy conservation ?	能源保守是什麼 ?
now i think it's too easy .	我覺得很簡單 。
they’re thinking about the same things .	他們在思考同樣的事 。
fellas , we are the problem .	費城 , 我們是問題 。
i flew here yesterday .	昨天我就在這裡 。
he even reached 105 meters .	他甚至達到105公尺 。
most people fled abroad .	大部分人都被拖延了 。
and sometimes they just capture stars .	有時他們只能捕捉星 。
and it's a madeup word .	這是一個字 。
it remembers that it's cancer .	它記得它是癌症 。
got a very short clip here .	這裡有個很短的影片 。
how are you sleeping ?	你要怎麼睡 ?
you can start to know where things are .	你可以開始知道什麼 。
here is a computer simulation .	這是電腦模擬 。
now , that was a long time ago .	這是一個很長的時代 。
so let's look to the future .	讓我們來看看未來 。
how do you get around it , though ?	不過你要怎麼走呢 ?
the west should try it out .	西方應該試圖 。
you need to measure all of them .	你必須衡量它們 。
let's take a step back .	讓我們回到一步 。
it's pretty obvious , right ?	很明顯 , 對吧 ?
i happen to have triplets .	我偶爾發生了 。
we actually do it all the time .	我們一直都在做 。
nm: okay . sure .	女士:好 。
there were many other things to do .	還有其他事情 。
so what's going to happen ?	那麼會發生什麼事 ?
we started with sports .	我們從運動開始 。
okay , what about the sun ?	好吧 , 太陽呢 ?
dc: there we go .	dc:我們去了 。
it's actually about three percent .	實際上大約有3% 。
and i said , " yes . "	我說: 「 是的 。 」
you really can make this change happen .	你真的可以做出改變 。
and they just make better decisions .	他們只是做出更好的決定 。
and what did they notice ?	他們注意到什麼 ?
there's nothing special about it .	沒有特別的 。
thank you , thank you so much .	非常謝
now , think just for a second .	現在 , 想想一下 。
imagine that orchestration .	想像一下 ,
first up is dual processing .	首先是塵埃處理 。
well , i started feeling stronger .	嗯 , 我開始變得更強 。
and they didn't stop there .	他們沒有停下來 。
the first is intensity .	首先是強大的 。
but that care means also you learn .	但這就表示你學習 。
and people can walk on the building .	人們可以在建築上走 。
and little moments in my life .	我生命中的小時刻 。
this is my final piece .	這是我的最後一部分 。
because we all stem from africa .	因為我們都來自非洲 。
meet my friend jonathan .	見面我的朋友jonathans 。
many of you will know this picture .	你們都知道這張照片 。
they put it online for free .	他們把它放在網路上 。
the rest is in storage .	剩下是儲存 。
that case is under appeal .	這樣就在了 。
no , no . the other way .	不 , 另一個方式 。
sn: where . where .	tn:在那裡 。
i didn't put him in .	我沒有把他放進去 。
you're critical .	你很關鍵 。
she's worried .	她擔心 。
it's loneliness .	這是孤獨 。
well , this is bad cop .	嗯 , 這很糟 。
get uniformitarian .	獲得獨立主義者 。
and let me just show you that .	讓我給你們看 。
but i can taste things .	但我可以任務 。
they're just like everyone else .	他們就像其他人一樣 。
and i'll tell you why .	我會告訴你們為什麼 。
in fact , it's not .	事實上 , 這不是 。
and protest is only one .	抗議只是一個 。
he was an observer .	他是個觀察者 。
and that's what you get .	這就是你所得到的 。
it's easy to bend .	很容易 。
my story is the power of choice .	我的故事是選擇的力量 。
we have to fix our media .	我們必須修復我們的媒體 。
he looked happy to see me .	他很高興看到我 。
first: financial .	首先:財務 。
and i believe the answer is yes .	我相信答案是對的 。
we'd like to understand that .	我們想要了解 。
we can change the incentive .	我們可以改變激勵力 。
how are we going to get that ?	我們要怎麼做到 ?
so what were we going to do ?	所以我們要怎麼做 ?
think for a moment about your car .	想想你的車 。
so what is it that we fear ?	所以 , 我們害怕什麼 ?
it’s her job to learn .	這是她的工作 。
and the short answer is games .	簡短的答案是遊戲
this is an ecological network .	這是生態網路 。
it's bamboo .	這是竹子 。
they actually want to hear about this .	他們真的想聽 。
some of you might have seen it .	有些人可能看過 。
and i was part of that .	我是其中的一部分 。
they're not thought of .	他們沒有想到 。
um , he was happy .	嗯 , 他很高興 。
because what's the difference ?	因為差異是什麼 ?
it felt futile .	感覺很難 。
so can we have that second ?	所以 , 我們有第二個 ?
yo , what up ?	嘿 , 什麼 ?
so this is a new project .	這是一個新的計畫 。
i've lost that count .	我失去了這個數字 。
i was 16 years old .	我十六歲 。
that's the simple rule .	這是一個簡單的規則 。
i was no longer homeless .	我沒有家長 。
i could make nothing of that .	我可以做出任何東西 。
why do we care about that ?	為什麼我們要關心 ?
and i could not tell them .	我無法告訴他們 。
what do we have in common ?	我們有什麼共同點 ?
and that was a hard one .	這是非常困難的 。
dt: absolutely .	d:絕對 。
so how do we do this ?	所以我們要怎麼做 ?
we had other partners .	我們還有其他夥伴 。
guess what it was ?	猜看嗎 ?
i was lucky .	我很幸運 。
accept the challenge .	接受挑戰 。
so that that's it .	這就是它 。
space is vast .	空間是隱形 。
they don't want that .	他們不想 。
let me give you an example .	讓我舉個例子 。
and why are my people poor .	為什麼我的窮人 。
and they are what matters .	它們是很重要的 。
i don't think so .	我不這麼認為 。
and here's a question .	這是一個問題 。
so this is nick .	這是尼克 。
because i was a writer .	因為我是個作家 。
so this is our goal .	這是我們的目標 。
he did not inhale .	他沒有hale 。
i am a translator .	我是翻譯者 。
and they decided to do it .	他們決定這麼做 。
right along the fence line .	直線 。
she was 21 years old .	她21歲 。
de: thank you , chris .	丹:謝克里斯 。
money is not a goal .	錢不是目標 。
so , they work differently .	所以 , 他們也不同 。
this is miami .	這是miami 。
now it's real time .	現在是真的 。
the key is consent .	關鍵是內容 。
and look after yourself , too .	看看自己 。
how would you feel about that ?	你要怎麼感受 ?
remember that image from the beginning ?	記得那張影像嗎 ?
and the car sped off .	車子停下來 。
so how do we know that ?	所以我們怎麼知道 ?
now how could this come about ?	這怎麼可能呢 ?
it was incredible .	這很不可思議 。
does trust transfer ?	信任轉變嗎 ?
let me take a step back .	讓我回到一步 。
side street in italy .	在義大利街上 。
that i carry within me .	這讓我關心 。
and i just couldn't .	我沒辦法 。
what is wrong with my life ?	我的生命是什麼 ?
how could he be sure ?	他怎麼確定 ?
one fact is not true .	其中一個事實並非如此
you see the person live .	你看到活著的人 。
i think we have power .	我認為我們有力量 。
and it's political .	這是政治 。
the body just learns .	身體只是學習 。
thank you very much .	非常謝
and i loved it .	我很喜歡 。
one's a fish .	一個魚 。
it isn't easy .	這並不容易 。
thanks very much .	非常謝
they are interested .	他們很感興趣 。
thank you very much .	非常謝
tt: e .	t:e 。
this is happening by itself .	這是自己發生的 。
it's pretty amazing .	很棒 。
thanks . bye .	非常謝 。
jt: okay .	j:好 。
my name is amit .	我的名字是承諾 。
it's that simple .	很簡單 。
so what did we find ?	所以我們發現了什麼 ?
so what did we do ?	所以我們做了什麼 ?
thank you very much .	非常謝
increasing ?	增加嗎 ?
psychological .	心理 。
thank you very much .	非常謝
thanks for listening .	聆聽 。
a good example is this .	好的例子是 。
never mention winning .	從來沒有提到 。
here are two of them .	這裡有兩個 。
day five and day six .	每天五天 。
find that which is not .	發現這不是 。
rm: thank you .	馬:謝 。
sent from my brain . "	從我的腦袋拿出來 。 」
so how do we solve ?	所以我們要怎麼解決 ?
well , we did it .	我們做到了 。
so how about the brain ?	那麼大腦呢 ?
eh: not bad .	艾:不好 。
sadly , no .	可惜的是 , 不 。
but nothing else does either .	但沒有其他的 。
but there was nothing there .	但沒有 。
get home to me . "	回到我 。 」
i know that feeling .	我知道這感覺 。
this is a brain .	這是大腦 。
this is pattern thinking .	這是模式思考 。
what happens to education ?	教育呢 ?
i know them well .	我知道他們 。
another place for people .	另一個地方 。
can you save ? "	你能拯救嗎 ? 」
we propose 10 .	我們選了10 。
see what i mean ?	看看我的意思嗎 ?
i love my job .	我很愛我的工作 。
js: again .	j:再次 。
fantastic .	很棒 。
allow me to explain .	讓我解釋一下 。
give it another try .	試一下 。
it is life itself .	這是生命本身 。
which it probably is .	這可能是 。
and you wonder why .	你納悶為什麼 。
what is this map ?	這張圖嗎 ?
i ran away .	我跑了 。
and the happy result .	結果很開心
is this fair ?	這是公平嗎 ?
he was gone .	他走了 。
punches ?	請注意嗎 ?
so here we are .	這就是我們 。
and they are not .	他們不是 。
that is my life .	這就是我的生命 。
trust me .	相信我 。
we have no idea .	我們不知道 。
three main approaches .	三個主要的方法 。
what would you do ?	你會怎麼做 ?
my brain started thinking .	我的大腦開始思考 。
live burial .	活著 。
and look at this .	看看 。
hmm .	嗯 。
and so . . .	所以......
yes and no .	是的 。
all right then .	好了 。
have a look .	看看 。
a new approach .	一個新的方法 。
like anno .	就像恐龍一樣 。
oh my god .	喔 !
we see them .	我們看到它們 。
close your eyes .	靠近你的眼睛 。
and they did .	他們做了 。
there are many .	有很多 。
the results ?	結果呢 ?
1 , 000 ?	一萬 ?
check .	看看 。
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
yeah !	是啊 !
relationships .	關係 。
thank you .	非常謝
what is ?	是什麼 ?
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thank you .	非常謝
thanks .	非常謝
thank you .	非常謝
wonderful .	很棒 。
thank you .	非常謝
how much ?	有多少 ?
right ?	對吧 ?
why ?	為什麼 ?
it's doubling every 18 months now .	它現在每18個月爆炸 。
have we ever heard of a dust mite ?	我們曾經聽過塵埃嗎 ?
we all have responsibility .	我們都有責任 。
it was a tool of selfdefense .	這是自閉症的工具 。
i visit her in the hospital .	我訪問她 。
and then the surprise turns into hope .	接著 , 驚訝的轉變變成希望 。
more homework assignment for you .	對於你來說 , 更多的房子 。
director 2: can you not shut up ?	主導2:你不能放棄嗎 ?
and now this is a work in progress .	這是進展的作品 。
he's from korea originally .	他從韓國開始 。
they're waiting to be circumcised .	他們等著被循環 。
and this is in the process of being built as we speak .	這是我們所說的過程 。
the highest concentration is in our brains .	最高的部分是在我們的腦中 。
the ones i started were much more primitive .	我開始變得更有限 。
bulldozing needs to be stopped .	泡沫需要停止 。
you can go and buy some of the great tunes .	你可以買一些很棒的隧道 。
i've been up to its front gates .	我一直到前面 。
now , these are three spectragrams .	這三張圖片 。
they were almost impossible to swallow .	他們幾乎不可能游泳 。
it's an art of communication .	這是溝通的藝術 。
i'm doing time here . this is not my home .	我在這裡做 , 這不是我的家 。
you can hear things that you didn't use to hear .	你可以聽到你不用聽到的東西 。
30 , 000 dollars for a night in a hotel .	晚上有三千美元 。
i built that pier with my bare hands .	我和銀行家一起建造 。
they want to cocreate with me the future .	他們想要和我合作 。
this coral is eight meters tall , right .	這個珊瑚是八公尺 , 對吧 。
well , there's no science to suggest .	嗯 , 沒有科學來建議 。
this heroic story is not just another myth .	這個英雄的故事不只是一個神話 。
now , this is the history of the next hundred years .	這是下一百年的歷史 。
i'm standing here , balancing .	我站在這裡 , 禁止 。
look , we all know the shocking numbers .	看看 , 我們都知道了鯊魚數字 。
it's blasting out radiation .	它在輻射 。
she got diabetes . case closed .	她有糖尿病 。
he got caught . he got tried .	他抓了 。 他試了 。
the second reason is it has to do with spending .	第二個原因是它必須花費 。
we can look at the pollution from china .	我們可以看到中國的污染 。
h stands for higgs particle .	希格斯粒子 。
we're about to take a break in a moment .	我們現在要花點點點時間 。
we can't wait to follow the next one . "	我們不能等下一個 。 」
this is just actually the first one that we tried .	這是我們試圖的第一個 。
i said , i also have a pottery .	我說 , 我也有個警察 。
we call it the cloud of normality .	我們稱它為 「 正常 」 。
what is an actress with no stage ?	沒有舞台呢 ?
my father was a san franciscan .	我父親是舊金山 。
lol is being used in a very particular way .	洛杉磯的使用方式 。
i do not recommend this at all .	我完全沒有回應 。
it can follow chemical gradients .	它可以遵循化學元素 。
being an artist is the greatest job there is .	身為藝術家是最棒的工作 。
he was a teacher par excellence .	他是個老師的外表 。
i deserve the education that i get here .	我相信這裡的教育 。
this is the callandresponse .	這是 「 廣告 」 。
they will reap the benefits .	他們會回應信息 。
now this looks also like a very good story .	這看起來像是一個很好的故事 。
you know , innovation's hard work .	你知道 , 創新是困難的 。
no , no , i haven't got it .	不 , 我沒有 。
but a few of the cells survive .	但有些細胞倖存 。
and he kind of nodded , you know ?	你知道嗎 ?
but what do the russians think ?	但俄國人認為什麼 ?
the first one is that they're toxic .	第一個是他們是xic 。
does anyone want to guess what it is ?	有人想猜它是什麼 ?
for example: mental arithmetic .	例如:心理學 。
we need to take advantage of that .	我們需要有優勢 。
my tote bag became a little library .	我變成了一個小圖書館 。
people have been asking this question for a long time .	人們一直在問這個問題 。
choices are a very important part of our lives .	選擇是我們生命的重要部分 。
that's a logical error .	這是一個邏輯錯誤 。
they've got an apple here from south africa .	南非有個蘋果 。
even so , we will be long gone by then .	即使如此 , 我們就會很久 。
that is , a real language has grammar .	這是真正的語言 。
but our mind keeps it pretty simple , yeah ?	但我們的想法很簡單 , 對吧 ?
well , not so , because this is also my problem .	嗯 , 這也是我的問題 。
this optic was 22 feet long .	這是2呎長的 。
he was my wingman on the descent .	他是我的翅膀 。
what have i been hiding for 16 years ?	16年來我一直在隱藏什麼 ?
guns and bombs are nothing new .	槍枝和炸彈沒有新 。
and there was no shortage of evidence .	沒有證據 。
his body had saved his son's life .	他的身體拯救了他的生命 。
i just took their pictures and pasted them .	我拍了他們的照片 , 過去 。
let me remind you what we already know .	讓我提醒你們已經知道的 。
i hope you see the resemblance .	我希望你們看到共鳴 。
all this became a childhood memory .	這一切都變成了小孩記憶 。
how does a bias become a policy ?	偏見如何成為政策 ?
lifespan has increased to 78 .	壽命增加到78 。
now there's one problem with robots like this .	現在有一個機器人的問題 。
we've got to hook them up with parents .	我們必須帶他們去 。
then we bring them right back in and do it again .	然後我們把它們帶回去做 。
so , the bladder is one such organ .	所以 , 膀胱是其中一個器官 。
they can get deeper mastery over the material .	他們可以在材料上變得更深 。
i want you to make as many new words as possible .	我希望你們能做很多新字 。
they collect 100 thousand liters in one season .	他們在一個季節收集了100個文獻 。
what exactly to the people watching this do every day ?	人們每天都在看這件事 ?
thank you all very much . it was lovely .	非常謝
and his thoughts made him reach for katie .	他的思想讓他達到韓國 。
the longest at the moment is in japan .	最長的時刻是日本 。
i should warn you , they're pretty powerful .	我應該警告你 , 他們很有力 。
" i feel closer to my friends and family . "	「 我對朋友和家人感到更近 。 」
hold your hands together . your other hand on top .	請舉手 。 你的另一手 。
and when we did that , we found 10 patients .	當我們這麼做時 , 我們發現了10個病人 。
it's the order of the four bases .	這是四個蝙蝠的秩序 。
it's about being at ease in the water .	這是在水下的 。
technology that they could have created in any way they wanted .	他們可以創造出任何他們想要的科技 。
what happened to our bread in the meantime ?	同時我們的麵包發生了什麼事 ?
go and get your share from the other researchers . "	然後你從其他研究者得到分享 。 」
we leap into the arms of big placebo .	我們走進大地方 。
he was darwin's cousin .	他是達爾文 。
they even hosted juice stations .	他們甚至熱愛法官 。
gets up , walks to the corner .	走到角落 。
finally , we have the partisan barrier .	最後 , 我們有黨派障礙 。
and it's because of what we feed them .	是因為我們餵養它們 。
so i went to google earth and learned about africa .	所以我去谷歌 , 學習非洲 。
ah ah , ah ah ah .	啊 , 啊 。
see , i'm like " fire it up ! "	我說: 「 火了 ! 」
remember that moment publishing your designs ?	記得那一刻會發表你的設計嗎 ?
but let's use it consciously .	但讓我們仔細地使用它 。
and i learned how to slow my heart rate down .	我學會如何緩慢我的心跳
perhaps our parents suffered from depression .	也許我們的父母受到憂鬱 。
" poor people are recipients . "	「 窮人是激勵 。 」
well , let's see if we can do that .	我們來看看 。
the cows that are waiting all around us .	等著我們周圍的大樓 。
here's an experiment we did at harvard .	這是我們在哈佛做的實驗 。
and in fact , that's what's happening .	事實上 , 這就是發生的 。
i had never heard the word amerasian before .	我從來沒有聽過亞洲人 。
did the rest of your family make it out alive ?	你的家人都活著嗎 ?
we all know that exploration is risky .	我們都知道探索是風險 。
i want you to look at your friend a little bit .	我要你們看看你的朋友 。
now i want you to relax your hand .	現在我希望你們再放手 。
but the relationship between them has been supported to change .	但他們之間的關係是支持改變 。
and we all know that is the hulk .	我們都知道這是hulk 。
it should be the citizen's decision .	這應該是公民的決定 。
we’re going to have some tomorrow .	我們將會有一些記者 。
i did this in front of many strangers .	我做了很多陌生人 。
likely , i'll lose my way .	很可能 , 我會失去我的路 。
boston doesn't just have a call center .	波士頓不只是一個叫中心 。
these are some famous recent examples .	這是一些很有名的例子 。
i'd never seen that before , but he did .	我從未見過這一點 , 但他做了 。
so i might ask: " who is it for ? "	所以我可能會問: 「 誰是誰 ? 」
this young woman wished also to go to school .	這位年輕女子也希望上學 。
the kind of relationships when deep speaks to deep .	深入的關係 。
like this character . remember these guys ?	請記住這些傢伙嗎 ?
was it something that took place overnight ?	一夜就有了嗎 ?
why ? we look at the inner planets .	為什麼 ? 我們看看周圍星球 。
you know , " sit , sit . "	你知道 , 「 坐下來 。 」
what shall i talk to her about ? "	我對她說什麼 ? 」
your sense of sight is the fastest .	你的視覺是最快的 。
one i thought had a kidney stone .	我以為有個腎臟 。
we protested . he signed it .	我們證明了 , 他簽署了 。
it's always the dark side of co2 .	這是二氧化碳的黑暗 。
that's how the light gets in . "	這就是光的 。 」
three out of 10 . that's not good .	三分之一 , 這並不好 。
stm 4: table coming down .	tm4:桌子來了 。
when did we originate as a species ?	當我們把物種當作物種 ?
i can try to be really still for 20 minutes .	我仍然可以試過20分鐘 。
and this one doesn't have anything for them .	這其中沒有任何東西 。
in six months , how do we train these women ?	六個月 , 我們要如何訓練這些女性 ?
imagine making all of our hard materials that way .	想像一下我們所有的困難材料 。
you are enough here at queer kid stuff .	這裡有足夠的小孩 。
i call them lessons to change the world .	我稱它們為改變世界 。
and everybody was really happy for me , but me .	每個人都很高興 , 但我 。
two decades ago and now nothing has changed .	兩十年前 , 沒有改變 。
well , adhd is just one example .	嗯 , 艾德只是一個例子 。
we are not there yet , but pay close attention .	我們還沒在那裡 , 但仔細注意 。
so low numbers mean that people worked harder .	所以 , 低數字表示人們更努力 。
isn't that extraordinary ?	這不可思議嗎 ?
it cost 1 . 7 million dollars to develop .	它花了17億美元來開發 。
right ? i mean , somebody's seen him .	對吧 ? 我是說 , 有人看過他 。
so what were the consequences ?	所以 , 結果是什麼 ?
not necessarily , no .	根本不必如此 。
there are three reasons why this is the case .	這裡有三個原因 。
and that's exactly what's happened here .	這就是發生的 。
jf: raaaaaah !	jf:raaaaaah !
she's a high school student .	她是個高中學生 。
feels like it's coming from right there .	感覺就像這樣 。
no , i don't have a badge .	不 , 我沒有壞 。
that's a rule of thumb .	這是拇指的規則 。
i too will join the cult .	我太願意加入這些雕像 。
" what are you afraid of ? "	「 你害怕什麼 ? 」
no one's ever seen evolution .	沒有人看過演化 。
this is all you . and this is all us .	這是你們 。 這是我們 。
this is the most glorious painting .	這是最有魅力的畫面 。
i can't write a word of code .	我不能寫程式 。
that's a big skull .	這是一個很大的皮膚 。
so i'm trying to clear it up .	所以我試著清楚 。
it's based on a real life experience .	這是根據真實生活經驗的 。
and that's what weavers are doing .	這就是我們所做的 。
let's go through the evidence .	我們來看看證據 。
here's a last exercise .	這是最後一個運動 。
this is what we call a perfect fifth .	這是我們所謂的完美第五 。
so , my plea to you is this .	所以 , 我給你們看這個 。
folks like kat and marie .	像凱薩和瑪莉一樣 。
" this is me . " identity .	「 這是我 。 」
these are the solutions that we need to find .	這些是我們需要找到的解決方案 。
these differences were highly significant .	這些差異很大 。
who benefits from all of this ?	這一切的利益是什麼 ?
but you have to have the right tools .	但你必須有權利 。
s : i want to change my life !	t:我想改變我的生命 。
this is in paris , along the seine .	這是在巴黎 ,
this was the first i'd heard of it .	這是我第一次聽到的 。
i think that this is a strange moment .	我認為這是一個奇怪的時刻 。
so this is where people went astray again .	這是人們再次追蹤的地方 。
sounds ridiculous , right .	聽起來很荒謬 。
third: diplomas are a brand .	第三:探索是個品牌 。
basho was a brilliant man .	蝙蝠是很棒的男人 。
this is important to create this exchange .	這很重要 。
ooh , this is going to be fun !	噢 , 這會很有趣 !
sadness enveloped maidan .	犧牲了瑪麗 。
this was when we had our " aha ! "	這是我們 「 啊 ! 」
feel happier and help save the world .	感覺更快樂 , 幫助拯救世界 。
we have to rehumanize the law .	我們必須重建法律 。
translate this into adult language .	翻譯成成成成成年語言 。
but we know that it's just not new .	但我們知道這並不新 。
the result of that was pretty dramatic .	結果非常戲劇 。
second man: it's driving itself .	第二個男人:驅動自己 。
they had completely different number systems as well .	他們也有完全不同的數字 。
and made the beams going around the house .	然後在房子裡做得到 。
one of them was this grandmother .	其中之一是這個祖母 。
surely , several questions arose .	當然 , 數個問題 。
live at ted , y'all .	活在ted , yall 。
clearly we don't have 10 planets .	顯然我們沒有十個行星 。
voting gives me a voice and power .	投票給我一個聲音和權力 。
but the data didn't look like a planet .	但資料看起來並不像地球 。
and we stopped trying to save these lives .	我們停止試著拯救這些生命 。
but i want you for another purpose .	但我想要你們另一個目的 。
but why is the question always do they love us ?	但 , 為什麼他們總是愛我們 ?
i think some people agree with me .	我認為有些人和我同意 。
so all the animals were drawn to the water .	所有的動物都被吸引到水 。
he hung out with the beatles .	他和船隻結在一起 。
now , how do you create compassion ?	你怎麼創造同情心 ?
it's amazing , the power of one word .	這真是令人驚訝的 。
our humanity is actually defined by technology .	我們人類的定義是科技 。
i get hate speech for that .	我覺得很討厭 。
people are looking for recognition .	人們在尋找辨識 。
texting has a 100 percent open rate .	文字率有100% 。
you create your own reality , and you believe it .	你創造自己的現實 , 你相信
a huge scandal for a few weeks .	幾個禮拜 。
we internalize ideas from our socialization .	我們對社會化的詮釋 。
and then they asked , " is that right ? "	然後他們問: 「 對嗎 ? 」
it's a terrible business model .	這是一個很糟糕的商業模型 。
i just have a technology platform . "	我只是一個科技平台 。 」
so we are past our 1 , 000th show .	我們過去了一萬個節目 。
hi sweetheart . okay .	嗨 , 好 。
so that's our general blood work test .	這就是我們一般血管測試 。
now , our classrooms could use change .	現在 , 我們的教室可以改變 。
this pattern appears over and over again .	這個模式再次出現 。
so each person climbs individually .	所以每個人都爬起來 。
i said , " you're right . "	我說: 「 你是對的 。 」
we cut roads through the forest .	我們穿過森林 。
run for your heterosexual lives .	為了你的選擇生活 。
these are news deserts .	這些都是消息 。
voice: we need an ambulance .	聲音:我們需要模仿 。
secondly , it breaks down a lot .	第二 , 它突破了很多 。
so , why doesn't it do it ?	所以 , 為什麼不這麼做 ?
comedy is very popular .	喜悅非常普遍 。
people wrote long and short answers .	人們寫了很長又短的答案 。
and he said to me , " oh no .	他對我說: 「 喔 。
how early can a rock performance begin ?	早期的表演是什麼 ?
and those young people become older people .	這些年輕人變得更老 。
but for us , the rain is good .	但對於我們來說 , 雨林是很好的 。
this is the word that it talks with .	這是這個字 。
she became the one she was waiting for .	她成為她等待的 。
this easily might not have been .	這可能很容易 。
it seems mad to talk about nothing .	這似乎很奇怪 。
it's so much fun to drive . "	很有趣 。 」
strike three is menopause .	三是男性 。
now all your different departments .	你的不同的部門 。
on the right , there is a coral .	右邊有個珊瑚
a mania for learning english .	學習英語 。
